Unnamed: 0,HOU,LVR,week,year,game_id
First Downs,21,25,7.0,2022,103
Rush-Yds-TDs,23-108-0,27-164-3,7.0,2022,103
Cmp-Att-Yd-TD-INT,28-41-302-2-1,21-27-241-1-0,7.0,2022,103
Sacked-Yards,1-6,1-5,7.0,2022,103
Net Pass Yards,296,236,7.0,2022,103
Total Yards,404,400,7.0,2022,103
Fumbles-Lost,0-0,2-0,7.0,2022,103
Turnovers,1,0,7.0,2022,103
Penalties-Yards,3-14,5-44,7.0,2022,103
Third Down Conv.,9-15,4-9,7.0,2022,103
Fourth Down Conv.,1-2,1-1,7.0,2022,103
Time of Possession,29:17,30:43,7.0,2022,103
