Quarter,Time,Down,ToGo,Location,CHI,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Patriots to receive the opening kickoff.",,,7.0,2022,108
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 67 yards, returned by Marcus Jones for 19 yards (tackle by Sterling Weatherford)",0.0,-0.06,7.0,2022,108
1.0,14:57,1.0,10.0,NWE 17,0.0,0.0,Rhamondre Stevenson left guard for no gain (tackle by Armon Watts),-0.06,-0.58,7.0,2022,108
1.0,14:23,2.0,10.0,NWE 17,0.0,0.0,"Mac Jones pass incomplete intended for Tyquan Thornton. Penalty on Robert Quinn: Defensive Offside, 5 yards (offset) . Penalty on Trent Brown: Offensive Holding, 10 yards (offset) (no play)",-0.58,-0.58,7.0,2022,108
1.0,14:17,2.0,10.0,NWE 17,0.0,0.0,Mac Jones pass complete short left to Rhamondre Stevenson for -1 yards (tackle by Robert Quinn),-0.58,-1.41,7.0,2022,108
1.0,13:39,3.0,11.0,NWE 16,0.0,0.0,Mac Jones scrambles up the middle for 6 yards (tackle by Roquan Smith and Jaquan Brisker),-1.41,-1.9,7.0,2022,108
1.0,13:05,4.0,5.0,NWE 22,0.0,0.0,Jake Bailey punts 44 yards downed by Brenden Schooler,-1.9,-1.2,7.0,2022,108
1.0,12:54,1.0,10.0,CHI 34,0.0,0.0,David Montgomery left tackle for 4 yards (tackle by Anfernee Jennings and Jahlani Tavai),1.2,1.2,7.0,2022,108
1.0,12:20,2.0,6.0,CHI 38,0.0,0.0,David Montgomery left tackle for 2 yards (tackle by Davon Godchaux),1.2,0.76,7.0,2022,108
1.0,11:38,3.0,4.0,CHI 40,0.0,0.0,Justin Fields pass complete short right to Darnell Mooney for 20 yards (tackle by Myles Bryant),0.76,2.92,7.0,2022,108
1.0,11:07,1.0,10.0,NWE 40,0.0,0.0,Justin Fields pass complete short left to Equanimeous St. Brown for 11 yards (tackle by Jalen Mills),2.92,3.64,7.0,2022,108
1.0,10:32,1.0,10.0,NWE 29,0.0,0.0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown,3.64,3.1,7.0,2022,108
1.0,10:28,2.0,10.0,NWE 29,0.0,0.0,"Justin Fields aborted snap, recovered by David Montgomery at NE-33 (tackle by Ja'Whaun Bentley)",3.1,1.88,7.0,2022,108
1.0,9:49,3.0,14.0,NWE 33,0.0,0.0,David Montgomery left end for 9 yards (tackle by Jabrill Peppers and Kyle Dugger),1.88,1.92,7.0,2022,108
1.0,9:06,4.0,5.0,NWE 24,3.0,0.0,Cairo Santos 42 yard field goal good,1.92,3.0,7.0,2022,108
1.0,9:02,,,CHI 35,3.0,0.0,"Cairo Santos kicks off 69 yards, returned by Marcus Jones for 25 yards (tackle by Trestan Ebner)",0.0,0.34,7.0,2022,108
1.0,8:57,1.0,10.0,NWE 21,3.0,0.0,Damien Harris up the middle for 3 yards (tackle by Nicholas Morrow),0.34,0.21,7.0,2022,108
1.0,8:31,2.0,7.0,NWE 24,3.0,0.0,"Mac Jones sacked by. Penalty on Trent Brown: Offensive Holding, 10 yards (offset) . Penalty on Jaquan Brisker: Defensive Holding, 5 yards (offset) (no play)",0.21,0.21,7.0,2022,108
1.0,8:11,2.0,7.0,NWE 24,3.0,0.0,Mac Jones pass complete short right to Damien Harris for 2 yards (tackle by Roquan Smith),0.21,-0.23,7.0,2022,108
1.0,7:40,3.0,5.0,NWE 26,3.0,0.0,"Penalty on Trent Brown: False Start, 5 yards (accepted) (no play)",-0.23,-0.89,7.0,2022,108
1.0,7:14,3.0,10.0,NWE 21,3.0,0.0,Rhamondre Stevenson left tackle for 5 yards (tackle by Jaquan Brisker),-0.89,-1.63,7.0,2022,108
1.0,6:38,4.0,5.0,NWE 26,3.0,0.0,"Jake Bailey punts 36 yards, returned by Dante Pettis for 6 yards (tackle by Brenden Schooler)",-1.63,-1.86,7.0,2022,108
1.0,6:29,1.0,10.0,CHI 44,3.0,0.0,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by Ja'Whaun Bentley),1.86,2.13,7.0,2022,108
1.0,5:43,2.0,4.0,CHI 50,3.0,0.0,David Montgomery right guard for -2 yards (tackle by Jack Jones and Carl Davis),2.13,1.16,7.0,2022,108
1.0,5:01,3.0,6.0,CHI 48,3.0,0.0,Justin Fields pass complete deep right to Equanimeous St. Brown for 19 yards (tackle by Adrian Phillips),1.16,3.38,7.0,2022,108
1.0,4:17,1.0,10.0,NWE 33,3.0,0.0,Justin Fields pass complete short middle to N'Keal Harry for 14 yards (tackle by Devin McCourty and Adrian Phillips),3.38,4.31,7.0,2022,108
1.0,3:42,1.0,10.0,NWE 19,3.0,0.0,Justin Fields left guard for 8 yards (tackle by Adrian Phillips),4.31,5.14,7.0,2022,108
1.0,3:01,2.0,2.0,NWE 11,3.0,0.0,David Montgomery right guard for 8 yards (tackle by Myles Bryant and Jalen Mills),5.14,6.51,7.0,2022,108
1.0,2:16,1.0,3.0,NWE 3,9.0,0.0,"Justin Fields left tackle for 3 yards, touchdown",6.51,7.0,7.0,2022,108
1.0,2:11,,,NWE 15,10.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,7.0,2022,108
1.0,2:11,,,CHI 35,10.0,0.0,"Cairo Santos kicks off 64 yards, returned by Marcus Jones for 22 yards (tackle by Dane Cruikshank and Joe Thomas)",0.0,0.48,7.0,2022,108
1.0,2:05,1.0,10.0,NWE 23,10.0,0.0,Mac Jones pass incomplete deep left intended for Tyquan Thornton,0.48,-0.07,7.0,2022,108
1.0,1:59,2.0,10.0,NWE 23,10.0,0.0,Rhamondre Stevenson right tackle for 5 yards (tackle by Roquan Smith),-0.07,-0.1,7.0,2022,108
1.0,1:27,3.0,5.0,NWE 28,10.0,0.0,Mac Jones scrambles right tackle for 10 yards (tackle by Jaquan Brisker),-0.1,1.47,7.0,2022,108
1.0,0:51,1.0,10.0,NWE 38,10.0,0.0,Rhamondre Stevenson right guard for 4 yards (tackle by Roquan Smith),1.47,1.46,7.0,2022,108
1.0,0:15,2.0,6.0,NWE 42,10.0,0.0,Mac Jones pass complete short middle to Hunter Henry for 12 yards (tackle by Jaquan Brisker),1.46,2.52,7.0,2022,108
2.0,15:00,1.0,10.0,CHI 46,10.0,0.0,Rhamondre Stevenson right tackle for 1 yard (tackle by Roquan Smith),2.52,2.11,7.0,2022,108
2.0,14:20,2.0,9.0,CHI 45,10.0,0.0,Mac Jones scrambles right end for 8 yards (tackle by Jaquan Brisker),2.11,2.48,7.0,2022,108
2.0,13:49,3.0,1.0,CHI 37,10.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Mike Pennel),2.48,3.18,7.0,2022,108
2.0,13:22,1.0,10.0,CHI 36,10.0,0.0,Mac Jones pass incomplete short middle intended for Damien Harris,3.18,2.64,7.0,2022,108
2.0,13:16,2.0,10.0,CHI 36,10.0,0.0,Mac Jones pass short right intended for Jonnu Smith is intercepted by Jaquan Brisker at CHI-21 and returned for 6 yards (tackle by Rhamondre Stevenson),2.64,-0.74,7.0,2022,108
2.0,13:08,1.0,10.0,CHI 27,10.0,0.0,Justin Fields pass incomplete short left intended for Khalil Herbert (defended by Anfernee Jennings),0.74,0.2,7.0,2022,108
2.0,13:06,2.0,10.0,CHI 27,10.0,0.0,Justin Fields pass incomplete short right intended for Darnell Mooney (defended by Marcus Jones),0.2,-0.49,7.0,2022,108
2.0,13:01,3.0,10.0,CHI 27,10.0,0.0,Justin Fields sacked by and Mack Wilson for -9 yards and Matt Judon for -9 yards. Justin Fields fumbles (forced by Mack Wilson),-0.49,-2.24,7.0,2022,108
2.0,12:05,4.0,19.0,CHI 18,10.0,0.0,"Trenton Gill punts 46 yards, returned by Marcus Jones for 9 yards (tackle by Jack Sanborn)",-2.24,-1.93,7.0,2022,108
2.0,11:55,1.0,10.0,NWE 45,10.0,0.0,Bailey Zappe pass complete short right to Jonnu Smith for 4 yards (tackle by Eddie Jackson and Nicholas Morrow),1.93,1.92,7.0,2022,108
2.0,11:14,2.0,6.0,NWE 49,10.0,0.0,Damien Harris right end for 1 yard (tackle by Roquan Smith),1.92,1.36,7.0,2022,108
2.0,10:36,3.0,5.0,NWE 50,10.0,0.0,Bailey Zappe pass complete short right to Rhamondre Stevenson for 20 yards (tackle by Eddie Jackson),1.36,3.58,7.0,2022,108
2.0,9:52,1.0,10.0,CHI 30,10.0,6.0,"Bailey Zappe pass complete deep left to Jakobi Meyers for 30 yards, touchdown",3.58,7.0,7.0,2022,108
2.0,9:43,,,CHI 15,10.0,7.0,Nick Folk kicks extra point good,0.0,0.0,7.0,2022,108
2.0,9:43,,,NWE 35,10.0,7.0,"Jake Bailey kicks off 62 yards, returned by Khalil Herbert for 27 yards (tackle by Brenden Schooler and Adrian Phillips)",0.0,0.94,7.0,2022,108
