Quarter,Time,Tm,Detail,CHI,NWE,week,year,game_id
1.0,9:02,Bears,Cairo Santos 42 yard field goal,3,0,7.0,2022,108
,2:11,Bears,Justin Fields 3 yard rush (Cairo Santos kick),10,0,7.0,2022,108
2.0,9:43,Patriots,Jakobi Meyers 30 yard pass from Bailey Zappe (Nick Folk kick),10,7,7.0,2022,108
,6:04,Patriots,Rhamondre Stevenson 4 yard rush (Nick Folk kick),10,14,7.0,2022,108
,1:54,Bears,Khalil Herbert 25 yard pass from Justin Fields (Cairo Santos kick),17,14,7.0,2022,108
,0:00,Bears,Cairo Santos 23 yard field goal,20,14,7.0,2022,108
3.0,9:47,Bears,Cairo Santos 38 yard field goal,23,14,7.0,2022,108
,3:50,Bears,Cairo Santos 50 yard field goal,26,14,7.0,2022,108
4.0,12:13,Bears,David Montgomery 1 yard rush (Cairo Santos kick),33,14,7.0,2022,108
