Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Jaguars,-6.0,14.14,16.85,-2.29,-3.4,-17.0,-6.32,-10.68,-0.94,2.5,-2.44,3.66,2.24,0.43,-1.39,7.0,2022,102
Giants,6.0,17.0,6.32,10.68,0.94,-14.14,-16.85,2.29,3.4,-2.5,-3.66,2.44,-0.43,-2.24,1.39,7.0,2022,102
