Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone,year,week
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,,
1.0,Dallas Cowboys,17.0,230.0,111.0,48.3%,23.0,13.0,56.5%,71.0,40.0,56.3%,2023,18
2.0,Buffalo Bills,17.0,219.0,109.0,49.8%,16.0,9.0,56.3%,65.0,41.0,63.1%,2023,18
3.0,Philadelphia Eagles,17.0,225.0,108.0,48.0%,26.0,19.0,73.1%,60.0,36.0,60.0%,2023,18
4.0,Green Bay Packers,17.0,223.0,105.0,47.1%,24.0,12.0,50.0%,64.0,33.0,51.6%,2023,18
5.0,Chicago Bears,17.0,238.0,98.0,41.2%,26.0,13.0,50.0%,49.0,28.0,57.1%,2023,18
6.0,Tampa Bay Buccaneers,17.0,236.0,98.0,41.5%,18.0,12.0,66.7%,49.0,22.0,44.9%,2023,18
7.0,Kansas City Chiefs,17.0,220.0,96.0,43.6%,20.0,10.0,50.0%,61.0,33.0,54.1%,2023,18
8.0,Los Angeles Rams,17.0,226.0,95.0,42.0%,21.0,13.0,61.9%,55.0,35.0,63.6%,2023,18
9.0,Detroit Lions,17.0,224.0,93.0,41.5%,40.0,21.0,52.5%,64.0,41.0,64.1%,2023,18
10.0,Los Angeles Chargers,17.0,237.0,91.0,38.4%,32.0,15.0,46.9%,47.0,27.0,57.4%,2023,18
11.0,New Orleans Saints,17.0,235.0,91.0,38.7%,19.0,9.0,47.4%,60.0,32.0,53.3%,2023,18
12.0,Atlanta Falcons,17.0,225.0,90.0,40.0%,19.0,8.0,42.1%,47.0,22.0,46.8%,2023,18
13.0,Arizona Cardinals,17.0,225.0,88.0,39.1%,34.0,15.0,44.1%,44.0,27.0,61.4%,2023,18
14.0,Houston Texans,17.0,232.0,88.0,37.9%,21.0,8.0,38.1%,53.0,29.0,54.7%,2023,18
15.0,Baltimore Ravens,17.0,207.0,87.0,42.0%,14.0,8.0,57.1%,68.0,42.0,61.8%,2023,18
16.0,Jacksonville Jaguars,17.0,228.0,87.0,38.2%,29.0,13.0,44.8%,52.0,26.0,50.0%,2023,18
17.0,San Francisco 49ers,17.0,179.0,85.0,47.5%,13.0,7.0,53.8%,67.0,45.0,67.2%,2023,18
18.0,Pittsburgh Steelers,17.0,232.0,85.0,36.6%,19.0,9.0,47.4%,42.0,20.0,47.6%,2023,18
19.0,Minnesota Vikings,17.0,223.0,85.0,38.1%,29.0,17.0,58.6%,51.0,24.0,47.1%,2023,18
20.0,Miami Dolphins,17.0,202.0,85.0,42.1%,25.0,11.0,44.0%,58.0,38.0,65.5%,2023,18
21.0,Carolina Panthers,17.0,249.0,85.0,34.1%,48.0,23.0,47.9%,36.0,18.0,50.0%,2023,18
22.0,Indianapolis Colts,17.0,232.0,82.0,35.3%,32.0,16.0,50.0%,57.0,28.0,49.1%,2023,18
23.0,Cincinnati Bengals,17.0,218.0,82.0,37.6%,20.0,9.0,45.0%,52.0,31.0,59.6%,2023,18
24.0,Denver Broncos,17.0,220.0,81.0,36.8%,20.0,13.0,65.0%,58.0,30.0,51.7%,2023,18
25.0,Cleveland Browns,17.0,253.0,80.0,31.6%,32.0,18.0,56.3%,50.0,28.0,56.0%,2023,18
26.0,Las Vegas Raiders,17.0,216.0,77.0,35.6%,23.0,14.0,60.9%,47.0,23.0,48.9%,2023,18
27.0,Washington Commanders,17.0,216.0,77.0,35.6%,29.0,16.0,55.2%,49.0,31.0,63.3%,2023,18
28.0,New York Giants,17.0,248.0,75.0,30.2%,37.0,18.0,48.6%,43.0,19.0,44.2%,2023,18
29.0,Seattle Seahawks,17.0,207.0,75.0,36.2%,16.0,6.0,37.5%,54.0,26.0,48.1%,2023,18
30.0,Tennessee Titans,17.0,212.0,71.0,33.5%,20.0,11.0,55.0%,48.0,23.0,47.9%,2023,18
31.0,New England Patriots,17.0,222.0,67.0,30.2%,25.0,9.0,36.0%,36.0,21.0,58.3%,2023,18
32.0,New York Jets,17.0,235.0,61.0,26.0%,29.0,17.0,58.6%,37.0,12.0,32.4%,2023,18
,League Total,,,,,,,,,,,2023,18
