Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Kansas City Chiefs,1,28,19,232,3,41.5,60.5,51.0,41.5,60.5,51.0
Buffalo Bills,1,15,11,188,2,31.6,45.6,37.1,31.6,45.6,37.1
Baltimore Ravens,1,30,20,240,1,30.8,53.8,40.8,30.8,53.8,40.8
New York Jets,1,14,9,175,2,29.5,38.5,34.0,29.5,38.5,34.0
Atlanta Falcons,1,22,12,157,2,28.6,40.6,34.6,28.6,40.6,34.6
New England Patriots,1,19,13,219,1,27.9,40.9,34.4,27.9,40.9,34.4
New York Giants,1,20,13,176,0,25.5,38.5,32.0,25.5,38.5,32.0
Las Vegas Raiders,1,25,16,173,1,23.7,42.7,31.7,23.7,42.7,31.7
Houston Texans,1,21,16,221,0,22.7,41.7,30.7,22.7,41.7,30.7
Miami Dolphins,1,16,11,149,1,22.4,33.4,27.9,22.4,33.4,27.9
Detroit Lions,1,14,10,160,1,22.0,32.0,27.0,22.0,32.0,27.0
Minnesota Vikings,1,22,14,144,1,19.5,34.2,26.2,19.5,34.2,26.2
Los Angeles Chargers,1,27,17,195,0,19.5,36.5,28.0,19.5,36.5,28.0
Cincinnati Bengals,1,18,12,129,1,18.9,30.9,24.9,18.9,30.9,24.9
Pittsburgh Steelers,1,14,11,144,1,18.4,30.4,23.9,18.4,30.4,23.9
Carolina Panthers,1,19,10,96,0,17.1,27.1,22.1,17.1,27.1,22.1
Philadelphia Eagles,1,21,13,158,0,16.7,32.7,23.2,16.7,32.7,23.2
Green Bay Packers,1,15,11,97,1,16.0,27.0,21.5,16.0,27.0,21.5
Tennessee Titans,1,20,14,120,1,16.0,31.0,23.0,16.0,31.0,23.0
New Orleans Saints,1,12,8,78,1,14.0,21.8,17.8,14.0,21.8,17.8
Tampa Bay Buccaneers,1,27,14,139,0,13.9,27.9,20.9,13.9,27.9,20.9
Chicago Bears,1,11,5,72,1,13.6,20.6,18.1,13.6,20.6,18.1
Arizona Cardinals,1,28,17,126,0,12.6,29.6,21.1,12.6,29.6,21.1
Los Angeles Rams,1,14,10,121,0,12.6,22.6,17.6,12.6,22.6,17.6
Washington Commanders,1,21,11,126,0,12.6,23.6,18.1,12.6,23.6,18.1
Seattle Seahawks,1,12,6,124,0,12.4,21.4,15.4,12.4,21.4,15.4
San Francisco 49ers,1,16,11,139,0,11.9,26.9,17.4,11.9,26.9,17.4
Indianapolis Colts,1,20,12,106,0,11.5,23.5,17.5,11.5,23.5,17.5
Jacksonville Jaguars,1,22,10,89,0,8.9,18.9,13.9,8.9,18.9,13.9
Dallas Cowboys,1,7,7,83,0,8.3,15.3,11.8,8.3,15.3,11.8
Cleveland Browns,1,9,5,59,0,5.9,10.9,8.4,5.9,10.9,8.4
Denver Broncos,1,18,7,48,0,5.7,12.7,9.2,5.7,12.7,9.2
