Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,year,week
1.0,Baltimore Ravens,17.0,26.0,27.0,1.0,,,1.0,,55.0,2.0,2.0,,51.0,52.0,32.0,37.0,1.0,483.0,28.4,2023,18
2.0,Kansas City Chiefs,17.0,9.0,28.0,,,2.0,,,39.0,,1.0,,38.0,38.0,33.0,35.0,,371.0,21.8,2023,18
3.0,San Francisco 49ers,17.0,27.0,33.0,,,,1.0,,61.0,,0.0,,60.0,61.0,21.0,25.0,1.0,491.0,28.9,2023,18
4.0,Buffalo Bills,17.0,22.0,29.0,1.0,,,2.0,,54.0,3.0,4.0,,49.0,50.0,24.0,29.0,,451.0,26.5,2023,18
5.0,Dallas Cowboys,17.0,14.0,36.0,,,1.0,5.0,1.0,57.0,4.0,5.0,,49.0,52.0,36.0,38.0,1.0,509.0,29.9,2023,18
6.0,Pittsburgh Steelers,17.0,16.0,13.0,,,1.0,1.0,,31.0,1.0,3.0,,27.0,28.0,29.0,31.0,1.0,304.0,17.9,2023,18
7.0,Tampa Bay Buccaneers,17.0,8.0,28.0,,,,1.0,,37.0,2.0,4.0,,33.0,33.0,29.0,31.0,1.0,348.0,20.5,2023,18
8.0,New Orleans Saints,17.0,13.0,28.0,1.0,,1.0,1.0,,44.0,4.0,4.0,,40.0,40.0,30.0,37.0,,402.0,23.6,2023,18
9.0,Las Vegas Raiders,17.0,11.0,20.0,,,2.0,3.0,,36.0,2.0,4.0,,32.0,32.0,26.0,30.0,1.0,332.0,19.5,2023,18
10.0,Green Bay Packers,17.0,10.0,32.0,,,1.0,1.0,,44.0,2.0,5.0,,34.0,39.0,27.0,33.0,,383.0,22.5,2023,18
11.0,Houston Texans,17.0,10.0,27.0,,2.0,1.0,,,40.0,2.0,7.0,,31.0,33.0,34.0,38.0,,377.0,22.2,2023,18
12.0,New York Jets,17.0,7.0,11.0,1.0,,1.0,2.0,,22.0,3.0,4.0,,16.0,17.0,36.0,39.0,3.0,268.0,15.8,2023,18
13.0,Minnesota Vikings,17.0,7.0,30.0,,,2.0,,,39.0,1.0,1.0,,36.0,38.0,24.0,30.0,,344.0,20.2,2023,18
14.0,Cleveland Browns,17.0,15.0,24.0,,,1.0,2.0,,42.0,6.0,9.0,,30.0,33.0,34.0,37.0,,396.0,23.3,2023,18
15.0,New England Patriots,17.0,9.0,16.0,,1.0,1.0,,,27.0,,2.0,,24.0,25.0,16.0,25.0,1.0,236.0,13.9,2023,18
16.0,Tennessee Titans,17.0,16.0,14.0,,,,1.0,,31.0,1.0,1.0,1.0,28.0,30.0,29.0,30.0,,305.0,17.9,2023,18
17.0,Jacksonville Jaguars,17.0,17.0,22.0,,,,2.0,,41.0,3.0,6.0,,35.0,35.0,30.0,37.0,,377.0,22.2,2023,18
18.0,Atlanta Falcons,17.0,14.0,17.0,,,,1.0,,32.0,2.0,4.0,,27.0,28.0,32.0,37.0,1.0,321.0,18.9,2023,18
19.0,Los Angeles Rams,17.0,18.0,26.0,,,,,,44.0,4.0,6.0,,32.0,37.0,32.0,43.0,2.0,404.0,23.8,2023,18
20.0,Chicago Bears,17.0,16.0,19.0,,,,2.0,,37.0,1.0,4.0,,31.0,33.0,35.0,38.0,,360.0,21.2,2023,18
21.0,Cincinnati Bengals,17.0,12.0,27.0,1.0,,,1.0,,41.0,1.0,1.0,,40.0,40.0,26.0,31.0,,366.0,21.5,2023,18
22.0,Miami Dolphins,17.0,27.0,30.0,,,,4.0,,61.0,,2.0,,58.0,59.0,24.0,28.0,,496.0,29.2,2023,18
23.0,Detroit Lions,17.0,27.0,30.0,,,,1.0,,58.0,3.0,6.0,,48.0,52.0,19.0,21.0,1.0,461.0,27.1,2023,18
24.0,Los Angeles Chargers,17.0,11.0,24.0,1.0,,,,,36.0,1.0,1.0,,35.0,35.0,31.0,33.0,,346.0,20.4,2023,18
25.0,Seattle Seahawks,17.0,11.0,23.0,,,,3.0,,37.0,2.0,3.0,,33.0,33.0,35.0,42.0,,364.0,21.4,2023,18
26.0,New York Giants,17.0,10.0,15.0,1.0,,,3.0,,29.0,1.0,4.0,,24.0,25.0,22.0,31.0,,266.0,15.6,2023,18
27.0,Denver Broncos,17.0,8.0,28.0,,1.0,1.0,,,38.0,4.0,7.0,,29.0,31.0,30.0,34.0,1.0,357.0,21.0,2023,18
28.0,Indianapolis Colts,17.0,19.0,18.0,,,1.0,3.0,1.0,42.0,4.0,5.0,,35.0,36.0,33.0,41.0,1.0,396.0,23.3,2023,18
29.0,Carolina Panthers,17.0,7.0,13.0,1.0,,,2.0,,23.0,3.0,3.0,,17.0,20.0,25.0,30.0,,236.0,13.9,2023,18
30.0,Philadelphia Eagles,17.0,22.0,24.0,,,1.0,2.0,,49.0,1.0,2.0,,45.0,46.0,30.0,32.0,1.0,433.0,25.5,2023,18
31.0,Arizona Cardinals,17.0,17.0,18.0,,,1.0,,,36.0,4.0,13.0,,22.0,23.0,28.0,33.0,,330.0,19.4,2023,18
32.0,Washington Commanders,17.0,14.0,24.0,,,1.0,,,39.0,3.0,4.0,,32.0,35.0,19.0,24.0,,329.0,19.4,2023,18
