Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Browns,-17.0,-23.73,-21.38,-1.69,-6.64,4.5,-6.4,9.27,-0.85,2.96,-1.88,3.56,3.87,-1.13,-1.46,17.0,2024,253
Dolphins,17.0,-4.5,6.4,-9.27,0.85,23.73,21.38,1.69,6.64,-2.96,-3.56,1.88,1.13,-3.87,1.46,17.0,2024,253
