Unnamed: 0,KAN,PIT,week,year,game_id
First Downs,20,23,17.0,2024,241
Rush-Yds-TDs,20-69-1,31-202-1,17.0,2024,241
Cmp-Att-Yd-TD-INT,29-38-320-3-0,23-37-205-0-1,17.0,2024,241
Sacked-Yards,0-0,5-43,17.0,2024,241
Net Pass Yards,320,162,17.0,2024,241
Total Yards,389,364,17.0,2024,241
Fumbles-Lost,1-0,2-1,17.0,2024,241
Turnovers,0,2,17.0,2024,241
Penalties-Yards,9-90,4-25,17.0,2024,241
Third Down Conv.,3-10,8-16,17.0,2024,241
Fourth Down Conv.,1-1,0-1,17.0,2024,241
Time of Possession,28:38,31:22,17.0,2024,241
