#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,13:14,ARI 3,6,4:02,19,Punt,0,Cardinals,17.0,2024,246
2,1,7:15,ARI 5,7,4:08,15,Punt,0,Cardinals,17.0,2024,246
3,1,1:04,ARI 19,10,5:00,67,Downs,0,Cardinals,17.0,2024,246
4,2,9:28,ARI 15,4,2:53,6,Punt,0,Cardinals,17.0,2024,246
5,2,3:23,ARI 30,4,1:42,19,Punt,0,Cardinals,17.0,2024,246
6,2,0:27,ARI 30,1,0:27,-8,End of Half,0,Cardinals,17.0,2024,246
7,3,15:00,ARI 32,13,6:29,68,Touchdown,0,Cardinals,17.0,2024,246
8,3,6:19,ARI 10,14,7:19,80,Field Goal,0,Cardinals,17.0,2024,246
9,4,6:33,ARI 30,7,3:31,30,Interception,0,Cardinals,17.0,2024,246
10,4,2:01,ARI 36,9,1:24,59,Interception,0,Cardinals,17.0,2024,246
