Quarter,Time,Tm,Detail,CAR,TAM,week,year,game_id
1.0,11:35,Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),0,7,17.0,2024,248
,8:15,Panthers,Adam Thielen 17 yard pass from Bryce Young (Eddy Piñeiro kick),7,7,17.0,2024,248
,1:13,Buccaneers,Chase McLaughlin 23 yard field goal,7,10,17.0,2024,248
2.0,10:31,Buccaneers,Chase McLaughlin 34 yard field goal,7,13,17.0,2024,248
,8:19,Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),7,20,17.0,2024,248
,1:11,Buccaneers,Jalen McMillan 10 yard pass from Baker Mayfield (Chase McLaughlin kick),7,27,17.0,2024,248
,0:50,Panthers,Adam Thielen 40 yard pass from Bryce Young (Eddy Piñeiro kick),14,27,17.0,2024,248
3.0,5:48,Buccaneers,Payne Durham 5 yard pass from Baker Mayfield (Chase McLaughlin kick),14,34,17.0,2024,248
,5:23,Buccaneers,J.J. Russell 23 yard blocked punt return (Chase McLaughlin kick),14,41,17.0,2024,248
4.0,13:30,Buccaneers,Jalen McMillan 16 yard pass from Baker Mayfield (Chase McLaughlin kick),14,48,17.0,2024,248
