Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Raiders to receive the opening kickoff.",,,17.0,2024,252
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 64 yards, returned by Chris Collier for 26 yards (tackle by Ugo Amadi)",0.0,0.74,17.0,2024,252
1.0,14:56,1.0,10.0,LVR 27,0.0,0.0,Aidan O'Connell pass complete short middle to Brock Bowers for 6 yards (tackle by Pete Werner and Demario Davis),0.74,1.01,17.0,2024,252
1.0,14:21,2.0,4.0,LVR 33,0.0,0.0,Aidan O'Connell pass complete short right to Brock Bowers for 2 yards (tackle by Pete Werner),1.01,0.56,17.0,2024,252
1.0,13:41,3.0,2.0,LVR 35,0.0,0.0,"Aidan O'Connell sacked by Bryan Bresee for no gain. Penalty on Carl Granderson: Defensive Offside, 5 yards (accepted) (no play)",0.56,1.6,17.0,2024,252
1.0,13:06,1.0,10.0,LVR 40,0.0,0.0,Ameer Abdullah up the middle for 4 yards (tackle by Chase Young),1.6,1.59,17.0,2024,252
1.0,12:38,2.0,6.0,LVR 44,0.0,0.0,Aidan O'Connell pass complete short middle to Ameer Abdullah for 13 yards (tackle by Pete Werner and Willie Gay),1.59,2.72,17.0,2024,252
1.0,11:56,1.0,10.0,NOR 43,0.0,0.0,Ameer Abdullah right guard for 3 yards (tackle by Nathan Shepherd),2.72,2.58,17.0,2024,252
1.0,11:09,2.0,7.0,NOR 40,0.0,0.0,Aidan O'Connell pass incomplete short left intended for Ameer Abdullah,2.58,1.88,17.0,2024,252
1.0,11:06,3.0,7.0,NOR 40,0.0,0.0,Ameer Abdullah left guard for 9 yards (tackle by Jordan Howden and Demario Davis),1.88,3.51,17.0,2024,252
1.0,10:28,1.0,10.0,NOR 31,0.0,0.0,Aidan O'Connell pass incomplete deep left intended for Jakobi Meyers,3.51,2.97,17.0,2024,252
1.0,10:24,2.0,10.0,NOR 31,0.0,0.0,Ameer Abdullah up the middle for 6 yards (tackle by Pete Werner),2.97,3.07,17.0,2024,252
1.0,9:45,3.0,4.0,NOR 25,0.0,0.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 6 yards (tackle by Pete Werner),3.07,4.31,17.0,2024,252
1.0,9:08,1.0,10.0,NOR 19,0.0,0.0,"Aidan O'Connell pass complete short right to Jakobi Meyers for 5 yards (tackle by Alontae Taylor) NOR challenged the pass completion ruling, and the original play was overturned. Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Alontae Taylor)",4.31,3.75,17.0,2024,252
1.0,9:03,2.0,10.0,NOR 19,0.0,0.0,Ameer Abdullah right guard for 6 yards (tackle by Will Harris and Pete Werner),3.75,3.96,17.0,2024,252
1.0,8:21,3.0,4.0,NOR 13,0.0,0.0,"Aidan O'Connell pass complete short left to Ameer Abdullah for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Aidan O'Connell pass complete short left to Ameer Abdullah for 12 yards (tackle by Demario Davis)",3.96,6.97,17.0,2024,252
1.0,8:02,1.0,1.0,NOR 1,0.0,0.0,Ameer Abdullah left guard for no gain (tackle by Carl Granderson and Demario Davis),6.97,5.91,17.0,2024,252
1.0,7:29,2.0,1.0,NOR 1,0.0,0.0,Alexander Mattison left tackle for -2 yards (tackle by Cameron Jordan and Demario Davis),5.91,4.72,17.0,2024,252
1.0,6:45,3.0,3.0,NOR 3,0.0,0.0,Aidan O'Connell sacked by Cameron Jordan for -10 yards,4.72,2.57,17.0,2024,252
1.0,5:53,4.0,13.0,NOR 13,3.0,0.0,Daniel Carlson 31 yard field goal good,2.57,3.0,17.0,2024,252
1.0,5:49,,,LVR 35,3.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,252
1.0,5:49,1.0,10.0,NOR 30,3.0,0.0,Spencer Rattler left end for 28 yards (tackle by Robert Spillane),0.94,2.79,17.0,2024,252
1.0,5:14,1.0,10.0,LVR 42,3.0,0.0,Clyde Edwards-Helaire left end for 4 yards (tackle by Jonah Laulu and Decamerion Richardson),2.79,2.78,17.0,2024,252
1.0,4:31,2.0,6.0,LVR 38,3.0,0.0,Spencer Rattler pass incomplete deep middle intended for Juwan Johnson (defended by Isaiah Pola-Mao),2.78,2.08,17.0,2024,252
1.0,4:20,3.0,6.0,LVR 38,3.0,0.0,Kendre Miller up the middle for no gain (tackle by Adam Butler),2.08,0.72,17.0,2024,252
1.0,3:41,4.0,6.0,LVR 38,3.0,0.0,"Penalty on Oli Udoh: False Start, 5 yards (accepted) (no play)",0.72,0.4,17.0,2024,252
1.0,3:20,4.0,11.0,LVR 43,3.0,0.0,Matthew Hayball punts 37 yards out of bounds,0.4,0.38,17.0,2024,252
1.0,3:16,1.0,10.0,LVR 6,3.0,0.0,"Alexander Mattison right guard for no gain (tackle by Demario Davis and Tyrann Mathieu). Penalty on Dylan Parham: Unnecessary Roughness / Offense, 3 yards (accepted) (no play)",-0.38,-0.49,17.0,2024,252
1.0,3:00,1.0,13.0,LVR 3,3.0,0.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 4 yards (tackle by Pete Werner),-0.49,-0.71,17.0,2024,252
1.0,2:21,2.0,9.0,LVR 7,3.0,0.0,Alexander Mattison up the middle for 2 yards (tackle by Nathan Shepherd and Chase Young),-0.71,-1.07,17.0,2024,252
1.0,1:36,,,,,,Timeout #1 by Las Vegas Raiders,,,17.0,2024,252
1.0,1:36,3.0,7.0,LVR 9,3.0,0.0,"Aidan O'Connell pass complete short right to Alexander Mattison for 6 yards (tackle by Demario Davis) LVR challenged the first down ruling, and the play was upheld.",-1.07,-2.44,17.0,2024,252
1.0,0:57,4.0,1.0,LVR 15,3.0,0.0,"AJ Cole punts 56 yards, returned by Dante Pettis for 21 yards (tackle by Amari Gainer and Isaiah Pola-Mao)",-2.44,-2.26,17.0,2024,252
1.0,0:45,1.0,10.0,LVR 50,3.0,0.0,Kendre Miller right end for 4 yards (tackle by Charles Snowden),2.26,2.25,17.0,2024,252
