Unnamed: 0,NYJ,BUF,week,year,game_id
First Downs,20,23,17.0,2024,247
Rush-Yds-TDs,21-112-0,34-97-2,17.0,2024,247
Cmp-Att-Yd-TD-INT,23-32-195-2-2,17-28-251-3-0,17.0,2024,247
Sacked-Yards,4-26,0-0,17.0,2024,247
Net Pass Yards,169,251,17.0,2024,247
Total Yards,281,348,17.0,2024,247
Fumbles-Lost,2-1,0-0,17.0,2024,247
Turnovers,3,0,17.0,2024,247
Penalties-Yards,16-120,7-60,17.0,2024,247
Third Down Conv.,4-9,8-14,17.0,2024,247
Fourth Down Conv.,0-1,0-1,17.0,2024,247
Time of Possession,28:43,31:17,17.0,2024,247
