Unnamed: 0,ATL,WAS,week,year,game_id
First Downs,23,29,17.0,2024,255
Rush-Yds-TDs,23-126-2,36-216-1,17.0,2024,255
Cmp-Att-Yd-TD-INT,19-35-223-1-1,24-36-227-3-1,17.0,2024,255
Sacked-Yards,2-12,5-31,17.0,2024,255
Net Pass Yards,211,196,17.0,2024,255
Total Yards,337,412,17.0,2024,255
Fumbles-Lost,3-0,1-0,17.0,2024,255
Turnovers,1,1,17.0,2024,255
Penalties-Yards,4-25,13-108,17.0,2024,255
Third Down Conv.,2-10,6-13,17.0,2024,255
Fourth Down Conv.,2-2,3-3,17.0,2024,255
Time of Possession,25:46,41:32,17.0,2024,255
