Unnamed: 0,MIA,CLE,week,year,game_id
First Downs,18,18,17.0,2024,253
Rush-Yds-TDs,27-74-1,28-114-0,17.0,2024,253
Cmp-Att-Yd-TD-INT,22-26-225-1-0,24-47-170-0-1,17.0,2024,253
Sacked-Yards,4-19,1-8,17.0,2024,253
Net Pass Yards,206,162,17.0,2024,253
Total Yards,280,276,17.0,2024,253
Fumbles-Lost,1-0,1-1,17.0,2024,253
Turnovers,0,2,17.0,2024,253
Penalties-Yards,11-94,9-84,17.0,2024,253
Third Down Conv.,2-11,7-17,17.0,2024,253
Fourth Down Conv.,0-1,0-4,17.0,2024,253
Time of Possession,30:41,29:19,17.0,2024,253
