Quarter,Time,Down,ToGo,Location,BAL,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Ravens to receive the opening kickoff.",,,17.0,2024,242
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 63 yards, returned by Rasheen Ali for 23 yards (tackle by Kris Boyd)",0.0,0.61,17.0,2024,242
1.0,14:56,1.0,10.0,BAL 25,0.0,0.0,Derrick Henry left guard for 6 yards (tackle by Eric Murray and Neville Hewitt),0.61,0.87,17.0,2024,242
1.0,14:14,2.0,4.0,BAL 31,0.0,0.0,Derrick Henry right guard for 6 yards (tackle by Christian Harris),0.87,1.4,17.0,2024,242
1.0,13:37,1.0,10.0,BAL 37,0.0,0.0,Lamar Jackson sacked by and Tommy Togiai for -3 yards and Will Anderson for -3 yards,1.4,0.45,17.0,2024,242
1.0,12:54,2.0,13.0,BAL 34,0.0,0.0,Lamar Jackson scrambles right end for 25 yards (tackle by Eric Murray),0.45,2.85,17.0,2024,242
1.0,12:15,1.0,10.0,HOU 41,0.0,0.0,Derrick Henry right guard for 7 yards (tackle by Derek Barnett and Henry To'oTo'o),2.85,3.25,17.0,2024,242
1.0,11:36,2.0,3.0,HOU 34,0.0,0.0,Derrick Henry right guard for 5 yards (tackle by Derek Stingley),3.25,3.64,17.0,2024,242
1.0,10:53,1.0,10.0,HOU 29,0.0,0.0,Lamar Jackson pass complete deep middle to Zay Flowers for 27 yards (tackle by Kamari Lassiter),3.64,6.74,17.0,2024,242
1.0,10:10,1.0,2.0,HOU 2,6.0,0.0,"Derrick Henry right guard for 2 yards, touchdown",6.74,7.0,17.0,2024,242
1.0,10:08,,,HOU 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,17.0,2024,242
1.0,10:08,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,242
1.0,10:08,1.0,10.0,HOU 30,7.0,0.0,Joe Mixon up the middle for no gain (tackle by Roquan Smith and Kyle Hamilton),0.94,0.39,17.0,2024,242
1.0,9:30,2.0,10.0,HOU 30,7.0,0.0,Joe Mixon right guard for 3 yards (tackle by Kyle Van Noy and Travis Jones),0.39,0.1,17.0,2024,242
1.0,8:50,3.0,7.0,HOU 33,7.0,0.0,C.J. Stroud pass complete short right to Nico Collins for 13 yards (tackle by Nate Wiggins),0.1,1.99,17.0,2024,242
1.0,8:10,1.0,10.0,HOU 46,7.0,0.0,Joe Mixon left guard for 5 yards (tackle by Kyle Van Noy and Malik Harrison),1.99,2.13,17.0,2024,242
1.0,7:35,2.0,5.0,BAL 49,7.0,0.0,C.J. Stroud pass complete short left to Cade Stover for 1 yard (tackle by Brandon Stephens),2.13,1.55,17.0,2024,242
1.0,7:04,3.0,4.0,BAL 48,7.0,0.0,C.J. Stroud sacked by Kyle Van Noy for -11 yards,1.55,-0.65,17.0,2024,242
1.0,6:19,4.0,15.0,HOU 41,7.0,0.0,Tommy Townsend punts 29 yards out of bounds,-0.65,-0.94,17.0,2024,242
1.0,6:12,1.0,10.0,BAL 30,7.0,0.0,Derrick Henry left guard for 20 yards (tackle by Eric Murray),0.94,2.26,17.0,2024,242
1.0,5:40,1.0,10.0,HOU 50,7.0,0.0,Derrick Henry left guard for 8 yards (tackle by Calen Bullock),2.26,2.79,17.0,2024,242
1.0,4:57,2.0,2.0,HOU 42,7.0,0.0,Derrick Henry up the middle for 7 yards (tackle by Eric Murray and Christian Harris),2.79,3.25,17.0,2024,242
1.0,4:15,1.0,10.0,HOU 35,7.0,0.0,Lamar Jackson pass complete short left to Zay Flowers for 4 yards (tackle by Myles Bryant),3.25,3.24,17.0,2024,242
1.0,3:37,2.0,6.0,HOU 31,7.0,0.0,Rasheen Ali right end for -3 yards (tackle by Dylan Horton),3.24,2.15,17.0,2024,242
1.0,2:56,3.0,9.0,HOU 34,7.0,0.0,Lamar Jackson pass incomplete short left intended for Zay Flowers,2.15,1.06,17.0,2024,242
1.0,2:51,4.0,9.0,HOU 34,10.0,0.0,Justin Tucker 52 yard field goal good,1.06,3.0,17.0,2024,242
1.0,2:47,,,BAL 35,10.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,242
1.0,2:47,1.0,10.0,HOU 30,10.0,0.0,C.J. Stroud pass complete short middle to Nico Collins for 16 yards (tackle by Brandon Stephens),0.94,1.99,17.0,2024,242
1.0,2:12,1.0,10.0,HOU 46,10.0,0.0,C.J. Stroud pass incomplete deep middle intended for Dalton Schultz,1.99,1.45,17.0,2024,242
1.0,2:08,2.0,10.0,HOU 46,10.0,0.0,C.J. Stroud pass incomplete deep right intended for Nico Collins,1.45,0.76,17.0,2024,242
1.0,2:03,3.0,10.0,HOU 46,10.0,0.0,C.J. Stroud pass incomplete short left intended for Dalton Schultz,0.76,-0.32,17.0,2024,242
1.0,1:58,4.0,10.0,HOU 46,10.0,0.0,"Tommy Townsend punts 46 yards downed by D'Angelo Ross. Penalty on D'Angelo Ross: Kick Catch Interference, 15 yards (accepted)",-0.32,-0.48,17.0,2024,242
1.0,1:50,1.0,10.0,BAL 23,10.0,0.0,Derrick Henry up the middle for 17 yards (tackle by Henry To'oTo'o),0.48,1.6,17.0,2024,242
1.0,1:15,1.0,10.0,BAL 40,10.0,0.0,Derrick Henry right tackle for 8 yards (tackle by Christian Harris),1.6,2.13,17.0,2024,242
1.0,0:36,2.0,2.0,BAL 48,10.0,0.0,Keaton Mitchell left guard for 7 yards (tackle by Kurt Hinish and Mario Edwards),2.13,2.59,17.0,2024,242
2.0,15:00,1.0,10.0,HOU 45,10.0,0.0,Derrick Henry left guard for -4 yards (tackle by Will Anderson),2.59,1.5,17.0,2024,242
2.0,14:23,2.0,14.0,HOU 49,10.0,0.0,Keaton Mitchell up the middle for -6 yards (tackle by Will Anderson),1.5,0.04,17.0,2024,242
2.0,13:42,3.0,20.0,BAL 45,10.0,0.0,Lamar Jackson pass incomplete short right,0.04,-0.39,17.0,2024,242
2.0,13:31,4.0,20.0,BAL 45,10.0,0.0,"Jordan Stout punts 37 yards, fair catch by Robert Woods at HOU-18",-0.39,-0.04,17.0,2024,242
2.0,13:23,1.0,10.0,HOU 18,10.0,0.0,"C.J. Stroud pass incomplete short right intended for Joe Mixon. Penalty on Cade Stover: Offensive Holding, 9 yards (accepted) (no play)",0.04,-0.72,17.0,2024,242
2.0,13:18,1.0,19.0,HOU 9,10.0,0.0,C.J. Stroud pass complete short left to Joe Mixon for 10 yards (tackle by Roquan Smith),-0.72,-0.32,17.0,2024,242
2.0,12:34,2.0,9.0,HOU 19,10.0,0.0,C.J. Stroud pass complete short right to Dalton Schultz for 18 yards (tackle by Ar'Darius Washington),-0.32,1.4,17.0,2024,242
2.0,12:03,1.0,10.0,HOU 37,10.0,0.0,C.J. Stroud pass incomplete short left intended for John Metchie,1.4,0.86,17.0,2024,242
2.0,11:59,2.0,10.0,HOU 37,10.0,0.0,"C.J. Stroud pass complete short left to John Metchie for 8 yards. John Metchie fumbles, ball out of bounds at HOU-45 (forced by Marlon Humphrey). John Metchie fumbles out of bounds",0.86,1.22,17.0,2024,242
2.0,11:19,3.0,2.0,HOU 45,10.0,0.0,C.J. Stroud sacked by Odafe Oweh for -13 yards,1.22,-1.24,17.0,2024,242
