#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,5:38,PHI 39,3,1:09,0,Punt,1,Eagles,17.0,2024,250
2,1,2:48,PHI 37,3,1:52,9,Punt,1,Eagles,17.0,2024,250
3,2,12:49,PHI 19,10,6:11,81,Touchdown,1,Eagles,17.0,2024,250
4,2,6:30,DAL 39,11,4:35,26,Field Goal,1,Eagles,17.0,2024,250
5,2,0:36,PHI 35,4,0:36,65,Touchdown,1,Eagles,17.0,2024,250
6,3,15:00,PHI 33,12,6:57,59,Field Goal,1,Eagles,17.0,2024,250
7,3,6:34,PHI 35,8,3:50,65,Touchdown,1,Eagles,17.0,2024,250
8,4,14:25,PHI 25,7,4:22,75,Touchdown,1,Eagles,17.0,2024,250
9,4,4:40,DAL 49,3,2:16,7,Punt,1,Eagles,17.0,2024,250
10,4,1:01,PHI 15,2,1:01,-2,End of Game,1,Eagles,17.0,2024,250
