Unnamed: 0,LVR,NOR,week,year,game_id
First Downs,22,13,17.0,2024,252
Rush-Yds-TDs,38-156-0,13-81-0,17.0,2024,252
Cmp-Att-Yd-TD-INT,20-35-242-2-0,20-36-218-1-2,17.0,2024,252
Sacked-Yards,1-10,4-30,17.0,2024,252
Net Pass Yards,232,188,17.0,2024,252
Total Yards,388,269,17.0,2024,252
Fumbles-Lost,0-0,2-0,17.0,2024,252
Turnovers,0,2,17.0,2024,252
Penalties-Yards,3-20,10-85,17.0,2024,252
Third Down Conv.,10-18,1-10,17.0,2024,252
Fourth Down Conv.,0-0,1-1,17.0,2024,252
Time of Possession,37:50,22:10,17.0,2024,252
