Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Bryce Young,CAR,15,28,203,10,30.3,346,12.4,185,12.3,6.6,18,1.2,1,4.5%,4,18.2%,5,16,14,2,21,60.0%,2,4.0,17.0,2024,248
Baker Mayfield,TAM,27,32,359,17,50.0,261,8.2,191,7.1,6.0,168,6.2,2,6.3%,2,6.3%,2,10,5,1,8,22.9%,1,2.0,17.0,2024,248
