Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,17.0,2024,243
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.28,17.0,2024,243
1.0,15:00,1.0,10.0,SEA 20,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 3 yards (tackle by Jonathan Owens),0.28,0.14,17.0,2024,243
1.0,14:22,2.0,7.0,SEA 23,0.0,0.0,Zach Charbonnet left end for 6 yards (tackle by Montez Sweat and Kyler Gordon),0.14,0.23,17.0,2024,243
1.0,13:42,3.0,1.0,SEA 29,0.0,0.0,Zach Charbonnet left tackle for 2 yards (tackle by Tyrique Stevenson),0.23,1.0,17.0,2024,243
1.0,12:59,1.0,10.0,SEA 31,0.0,0.0,Zach Charbonnet left guard for 11 yards (tackle by Kevin Byard),1.0,1.73,17.0,2024,243
1.0,12:26,1.0,10.0,SEA 42,0.0,0.0,Geno Smith pass complete short left to Noah Fant for 15 yards (tackle by Byron Cowart and Tyrique Stevenson),1.73,2.72,17.0,2024,243
1.0,11:45,1.0,10.0,CHI 43,0.0,0.0,Kenny McIntosh right guard for 2 yards (tackle by Darrell Taylor),2.72,2.45,17.0,2024,243
1.0,11:00,2.0,8.0,CHI 41,0.0,0.0,Kenny McIntosh left guard for 25 yards (tackle by Kevin Byard),2.45,4.51,17.0,2024,243
1.0,10:34,1.0,10.0,CHI 16,0.0,0.0,Kenny McIntosh left guard for 2 yards (tackle by Tremaine Edmunds),4.51,4.21,17.0,2024,243
1.0,9:48,2.0,8.0,CHI 14,0.0,0.0,Zach Charbonnet right guard for 5 yards (tackle by Tremaine Edmunds and T.J. Edwards),4.21,4.39,17.0,2024,243
1.0,9:07,3.0,3.0,CHI 9,0.0,0.0,Geno Smith pass incomplete short middle intended for Tyler Lockett (defended by Tremaine Edmunds),4.39,2.93,17.0,2024,243
1.0,9:03,4.0,3.0,CHI 9,3.0,0.0,Jason Myers 27 yard field goal good,2.93,3.0,17.0,2024,243
1.0,8:59,,,SEA 35,3.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,243
1.0,8:59,1.0,10.0,CHI 30,3.0,0.0,D'Andre Swift right end for 2 yards (tackle by Byron Murphy),0.94,0.66,17.0,2024,243
1.0,8:24,2.0,8.0,CHI 32,3.0,0.0,Roschon Johnson left guard for 3 yards (tackle by Boye Mafe),0.66,0.37,17.0,2024,243
1.0,7:50,3.0,5.0,CHI 35,3.0,0.0,Caleb Williams pass incomplete short middle intended for Rome Odunze,0.37,-1.04,17.0,2024,243
1.0,7:46,4.0,5.0,CHI 35,3.0,0.0,"Tory Taylor punts 48 yards, returned by Jaelon Darden for no gain (tackle by Josh Blackwell)",-1.04,0.06,17.0,2024,243
1.0,7:39,1.0,10.0,SEA 17,3.0,0.0,"Geno Smith sacked by Montez Sweat for -8 yards. Geno Smith fumbles (forced by Montez Sweat), recovered by Geno Smith at SEA-9 (tackle by Montez Sweat)",-0.06,-1.36,17.0,2024,243
1.0,6:57,2.0,18.0,SEA 9,3.0,0.0,Geno Smith pass complete short right to Zach Charbonnet for 11 yards (tackle by Kevin Byard),-1.36,-0.87,17.0,2024,243
1.0,6:15,3.0,7.0,SEA 20,3.0,0.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,-0.87,-2.03,17.0,2024,243
1.0,6:10,4.0,7.0,SEA 20,3.0,0.0,"Michael Dickson punts 58 yards, returned by Josh Blackwell for 7 yards (tackle by Kenny McIntosh)",-2.03,-0.87,17.0,2024,243
1.0,6:00,1.0,10.0,CHI 29,3.0,0.0,Caleb Williams pass complete short right to D.J. Moore for 9 yards (tackle by Uchenna Nwosu),0.87,1.54,17.0,2024,243
