Quarter,Time,Tm,Detail,SEA,CHI,week,year,game_id
1.0,8:59,Seahawks,Jason Myers 27 yard field goal,3,0,17.0,2024,243
2.0,2:32,Bears,Cairo Santos 42 yard field goal,3,3,17.0,2024,243
,0:21,Seahawks,Jason Myers 50 yard field goal,6,3,17.0,2024,243
