Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Saints,-15.0,-11.13,-13.5,2.69,-8.62,-8.77,-10.48,1.71,0.0,3.55,-1.41,6.58,2.64,-1.63,-2.63,17.0,2024,252
Raiders,15.0,8.77,10.48,-1.71,0.0,11.13,13.5,-2.69,8.62,-3.55,-6.58,1.41,1.63,-2.64,2.63,17.0,2024,252
