Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,,17.0,2024,247
1.0,15:00,,,NYJ 35,0.0,0.0,"Thomas Morstead kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,247
1.0,15:00,1.0,10.0,BUF 30,0.0,0.0,Josh Allen pass incomplete short middle intended for Dawson Knox,0.94,0.39,17.0,2024,247
1.0,14:54,2.0,10.0,BUF 30,0.0,0.0,James Cook right tackle for 5 yards (tackle by Quinnen Williams),0.39,0.37,17.0,2024,247
1.0,14:19,3.0,5.0,BUF 35,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 12 yards (tackle by Chuck Clark),0.37,2.06,17.0,2024,247
1.0,13:46,1.0,10.0,BUF 47,0.0,0.0,"Josh Allen pass complete short right to Ray Davis for no gain. Ray Davis fumbles (forced by Chazz Surratt). Ray Davis fumbles out of bounds. Penalty on Tony Adams: Illegal Contact, 5 yards (accepted) (no play)",2.06,2.39,17.0,2024,247
1.0,13:11,1.0,10.0,NYJ 48,0.0,0.0,"Ty Johnson left end for 8 yards (tackle by Jamien Sherwood). Penalty on Connor McGovern: Unnecessary Roughness / Offense, 15 yards (accepted)",2.39,0.9,17.0,2024,247
1.0,12:49,2.0,17.0,BUF 45,0.0,0.0,"Josh Allen pass incomplete deep right intended for Dawson Knox. Penalty on D.J. Reed: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.9,2.26,17.0,2024,247
1.0,12:44,1.0,10.0,BUF 50,0.0,0.0,James Cook left end for 7 yards (tackle by Quincy Williams),2.26,2.66,17.0,2024,247
1.0,12:05,2.0,3.0,NYJ 43,0.0,0.0,James Cook left tackle for no gain (tackle by Leonard Taylor),2.66,1.95,17.0,2024,247
1.0,11:24,3.0,3.0,NYJ 43,0.0,0.0,"Josh Allen pass complete deep right to Keon Coleman for no gain (tackle by Isaiah Oliver). Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)",1.95,0.63,17.0,2024,247
1.0,10:57,3.0,13.0,BUF 47,0.0,0.0,Josh Allen pass complete deep middle to Mack Hollins for 23 yards (tackle by Chuck Clark and Michael Carter),0.63,3.58,17.0,2024,247
1.0,10:14,1.0,10.0,NYJ 30,0.0,0.0,Ray Davis up the middle for 3 yards (tackle by Quincy Williams),3.58,3.44,17.0,2024,247
1.0,9:31,2.0,7.0,NYJ 27,0.0,0.0,Josh Allen pass complete short middle to Mack Hollins for 10 yards (tackle by Isaiah Oliver),3.44,4.44,17.0,2024,247
1.0,9:04,1.0,10.0,NYJ 17,0.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for 11 yards (tackle by D.J. Reed and Chuck Clark),4.44,5.83,17.0,2024,247
1.0,8:25,1.0,6.0,NYJ 6,0.0,0.0,Josh Allen pass incomplete short left intended for Keon Coleman (defended by Sauce Gardner),5.83,4.95,17.0,2024,247
1.0,8:20,2.0,6.0,NYJ 6,0.0,0.0,"Josh Allen pass incomplete short middle intended for Mack Hollins. Penalty on Sauce Gardner: Defensive Pass Interference, 5 yards (accepted) (no play)",4.95,6.97,17.0,2024,247
1.0,8:14,1.0,1.0,NYJ 1,0.0,6.0,"Josh Allen left guard for 1 yard, touchdown",6.97,7.0,17.0,2024,247
1.0,8:11,,,NYJ 15,0.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,17.0,2024,247
1.0,8:11,,,BUF 35,0.0,7.0,"Tyler Bass kicks off 66 yards, returned by Isaiah Davis for 29 yards (tackle by Cameron Lewis and Reggie Gilliam)",0.0,0.81,17.0,2024,247
1.0,8:05,1.0,10.0,NYJ 28,0.0,7.0,Breece Hall right end for 10 yards (tackle by Taron Johnson),0.81,1.47,17.0,2024,247
1.0,7:24,1.0,10.0,NYJ 38,0.0,7.0,Breece Hall left guard for 3 yards (tackle by A.J. Epenesa),1.47,1.33,17.0,2024,247
1.0,6:44,2.0,7.0,NYJ 41,0.0,7.0,"Aaron Rodgers pass incomplete short right intended for Tyler Conklin. Penalty on Rasul Douglas: Illegal Contact, 5 yards (accepted) (no play)",1.33,1.99,17.0,2024,247
1.0,6:39,1.0,10.0,NYJ 46,0.0,7.0,Aaron Rodgers pass complete short right to Tyler Conklin for 5 yards (tackle by Taron Johnson),1.99,2.13,17.0,2024,247
