Unnamed: 0,DAL,PHI,week,year,game_id
First Downs,16,20,17.0,2024,250
Rush-Yds-TDs,30-127-0,42-179-1,17.0,2024,250
Cmp-Att-Yd-TD-INT,16-29-148-1-2,13-19-197-3-0,17.0,2024,250
Sacked-Yards,1-7,0-0,17.0,2024,250
Net Pass Yards,141,197,17.0,2024,250
Total Yards,268,376,17.0,2024,250
Fumbles-Lost,2-2,0-0,17.0,2024,250
Turnovers,4,0,17.0,2024,250
Penalties-Yards,8-69,4-25,17.0,2024,250
Third Down Conv.,6-14,6-13,17.0,2024,250
Fourth Down Conv.,0-0,1-1,17.0,2024,250
Time of Possession,27:11,32:49,17.0,2024,250
