Unnamed: 0,ARI,LAR,week,year,game_id
First Downs,24,12,17.0,2024,246
Rush-Yds-TDs,22-113-0,22-68-1,17.0,2024,246
Cmp-Att-Yd-TD-INT,33-48-321-1-2,17-32-189-0-0,17.0,2024,246
Sacked-Yards,4-38,0-0,17.0,2024,246
Net Pass Yards,283,189,17.0,2024,246
Total Yards,396,257,17.0,2024,246
Fumbles-Lost,0-0,0-0,17.0,2024,246
Turnovers,2,0,17.0,2024,246
Penalties-Yards,9-62,7-46,17.0,2024,246
Third Down Conv.,6-13,6-15,17.0,2024,246
Fourth Down Conv.,0-2,0-0,17.0,2024,246
Time of Possession,36:55,23:05,17.0,2024,246
