Unnamed: 0,BAL,HOU,week,year,game_id
First Downs,25,10,17.0,2024,242
Rush-Yds-TDs,43-251-2,17-58-0,17.0,2024,242
Cmp-Att-Yd-TD-INT,11-17-184-2-0,18-32-190-0-1,17.0,2024,242
Sacked-Yards,1-3,5-37,17.0,2024,242
Net Pass Yards,181,153,17.0,2024,242
Total Yards,432,211,17.0,2024,242
Fumbles-Lost,0-0,1-0,17.0,2024,242
Turnovers,0,1,17.0,2024,242
Penalties-Yards,3-30,5-49,17.0,2024,242
Third Down Conv.,4-9,4-15,17.0,2024,242
Fourth Down Conv.,0-0,0-2,17.0,2024,242
Time of Possession,35:21,24:39,17.0,2024,242
