Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Bo Nix,DEN,0,0,0,0,0,17.0,2024,245
Jaleel McLaughlin,DEN,2,2,7,0,4,17.0,2024,245
Audric Estime,DEN,1,1,13,0,13,17.0,2024,245
Courtland Sutton,DEN,9,5,55,1,15,17.0,2024,245
Devaughn Vele,DEN,2,2,27,0,16,17.0,2024,245
Nate Adkins,DEN,1,1,7,0,7,17.0,2024,245
Adam Trautman,DEN,3,1,5,0,5,17.0,2024,245
Lucas Krull,DEN,1,1,3,0,3,17.0,2024,245
Javonte Williams,DEN,2,2,0,0,6,17.0,2024,245
Troy Franklin,DEN,2,1,-1,0,-1,17.0,2024,245
Marvin Mims,DEN,8,8,103,2,51,17.0,2024,245
Joe Burrow,CIN,0,0,0,0,0,17.0,2024,245
Chase Brown,CIN,4,4,24,0,11,17.0,2024,245
Khalil Herbert,CIN,0,0,0,0,0,17.0,2024,245
Tee Higgins,CIN,12,11,131,3,31,17.0,2024,245
Ja'Marr Chase,CIN,15,9,102,0,38,17.0,2024,245
Mike Gesicki,CIN,12,10,86,0,12,17.0,2024,245
Andrei Iosivas,CIN,4,3,59,0,26,17.0,2024,245
Cam Grandy,CIN,1,1,7,0,7,17.0,2024,245
Drew Sample,CIN,1,1,3,0,3,17.0,2024,245
