Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,17.0,2024,248
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,248
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Bucky Irving left end for 6 yards (tackle by D.J. Wonnum),0.94,1.2,17.0,2024,248
1.0,14:22,2.0,4.0,TAM 36,0.0,0.0,Bucky Irving right guard for 10 yards (tackle by Dane Jackson and Caleb Farley),1.2,1.99,17.0,2024,248
1.0,13:47,1.0,10.0,TAM 46,0.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 9 yards (tackle by Michael Jackson),1.99,2.67,17.0,2024,248
1.0,13:07,2.0,1.0,CAR 45,0.0,0.0,Bucky Irving up the middle for 12 yards (tackle by Xavier Woods),2.67,3.38,17.0,2024,248
1.0,12:25,1.0,10.0,CAR 33,0.0,0.0,Baker Mayfield pass complete deep middle to Payne Durham for 31 yards (tackle by Demani Richardson and Xavier Woods),3.38,6.74,17.0,2024,248
1.0,11:38,1.0,2.0,CAR 2,0.0,6.0,"Baker Mayfield pass complete short right to Mike Evans for 2 yards, touchdown",6.74,7.0,17.0,2024,248
1.0,11:35,,,CAR 15,0.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,17.0,2024,248
1.0,11:35,,,TAM 35,0.0,7.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,248
1.0,11:35,1.0,10.0,CAR 30,0.0,7.0,Raheem Blackshear left tackle for 5 yards (tackle by Vita Vea),0.94,1.07,17.0,2024,248
1.0,11:00,2.0,5.0,CAR 35,0.0,7.0,Bryce Young pass complete deep right to Adam Thielen for 31 yards (tackle by Zyon McCollum),1.07,3.31,17.0,2024,248
1.0,10:30,1.0,10.0,TAM 34,0.0,7.0,Raheem Blackshear up the middle for 2 yards (tackle by YaYa Diaby and Tykee Smith),3.31,3.04,17.0,2024,248
1.0,9:45,2.0,8.0,TAM 32,0.0,7.0,Bryce Young pass complete short right to Jalen Coker for 15 yards (tackle by Jordan Whitehead),3.04,4.44,17.0,2024,248
1.0,9:03,1.0,10.0,TAM 17,0.0,7.0,Raheem Blackshear left end for no gain (tackle by Calijah Kancey and Greg Gaines),4.44,3.85,17.0,2024,248
