Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, 49ers to receive the opening kickoff.",,,17.0,2024,256
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 63 yards, returned by Deebo Samuel for 37 yards (tackle by Anthony Pittman and Zeke Turner)",0.0,1.53,17.0,2024,256
1.0,14:54,1.0,10.0,SFO 39,0.0,0.0,Deebo Samuel right end for 3 yards (tackle by Brian Branch and Jack Campbell),1.53,1.39,17.0,2024,256
1.0,14:19,2.0,7.0,SFO 42,0.0,0.0,Brock Purdy pass complete short middle to Chris Conley for 13 yards (tackle by Kerby Joseph),1.39,2.59,17.0,2024,256
1.0,13:40,1.0,10.0,DET 45,0.0,0.0,Deebo Samuel up the middle for 4 yards (tackle by Levi Onwuzurike),2.59,2.58,17.0,2024,256
1.0,13:01,2.0,6.0,DET 41,0.0,0.0,Deebo Samuel right end for 9 yards (tackle by Trevor Nowaske),2.58,3.45,17.0,2024,256
1.0,12:22,1.0,10.0,DET 32,0.0,0.0,Brock Purdy pass complete short middle to George Kittle for 18 yards (tackle by Trevor Nowaske),3.45,4.65,17.0,2024,256
1.0,11:40,1.0,10.0,DET 14,0.0,0.0,Ricky Pearsall left end for 4 yards (tackle by Kerby Joseph),4.65,4.71,17.0,2024,256
1.0,10:55,2.0,6.0,DET 10,0.0,0.0,Isaac Guerendo left end for 4 yards (tackle by Kerby Joseph),4.71,4.73,17.0,2024,256
1.0,10:19,3.0,2.0,DET 6,0.0,0.0,Brock Purdy up the middle for 1 yard (tackle by D.J. Reader and Pat O'Connor),4.73,3.03,17.0,2024,256
1.0,9:39,4.0,1.0,DET 5,0.0,0.0,Brock Purdy up the middle for 2 yards (tackle by Pat O'Connor),3.03,6.51,17.0,2024,256
1.0,8:54,1.0,3.0,DET 3,0.0,0.0,"Isaac Guerendo up the middle for no gain (tackle by D.J. Reader and Trevor Nowaske). Penalty on Jauan Jennings: Unnecessary Roughness / Offense, 15 yards (offset) . Penalty on Kerby Joseph: Unnecessary Roughness / Defense, 15 yards (offset)",6.51,5.53,17.0,2024,256
1.0,8:40,2.0,3.0,DET 3,0.0,6.0,"Brock Purdy pass complete short left to Ricky Pearsall for 3 yards, touchdown",5.53,7.0,17.0,2024,256
1.0,8:37,,,DET 15,0.0,7.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2024,256
1.0,8:37,,,SFO 35,0.0,7.0,"Jake Moody kicks off 57 yards, returned by Tom Kennedy for 27 yards (tackle by Eric Saubert)",0.0,1.27,17.0,2024,256
1.0,8:31,1.0,10.0,DET 35,0.0,7.0,Jared Goff pass complete short left to Jameson Williams for 3 yards (tackle by Isaac Yiadom),1.27,1.13,17.0,2024,256
1.0,7:57,2.0,7.0,DET 38,0.0,7.0,Jahmyr Gibbs right guard for 5 yards (tackle by Dee Winters and Tatum Bethune),1.13,1.09,17.0,2024,256
1.0,7:19,3.0,2.0,DET 43,0.0,7.0,Jahmyr Gibbs left tackle for 6 yards (tackle by Isaac Yiadom),1.09,2.19,17.0,2024,256
1.0,6:45,1.0,10.0,DET 49,0.0,7.0,Jahmyr Gibbs left end for 21 yards (tackle by Talanoa Hufanga),2.19,3.58,17.0,2024,256
1.0,6:09,1.0,10.0,SFO 30,0.0,7.0,Jameson Williams right end for -5 yards (tackle by Maliek Collins),3.58,2.36,17.0,2024,256
1.0,5:32,2.0,15.0,SFO 35,0.0,7.0,"Jared Goff pass complete short right to Craig Reynolds for 26 yards (tackle by Malik Mustapha). Penalty on Renardo Green: Illegal Contact, 5 yards (declined)",2.36,5.14,17.0,2024,256
1.0,5:04,1.0,9.0,SFO 9,0.0,7.0,Jermar Jefferson left tackle for 8 yards (tackle by Deommodore Lenoir),5.14,5.91,17.0,2024,256
1.0,4:26,2.0,1.0,SFO 1,0.0,7.0,Jermar Jefferson right guard for -2 yards (tackle by Fred Warner),5.91,4.72,17.0,2024,256
1.0,3:47,3.0,3.0,SFO 3,6.0,7.0,"Jameson Williams left end for 3 yards, touchdown",4.72,7.0,17.0,2024,256
1.0,3:42,,,SFO 15,6.0,7.0,"Jake Bates kicks extra point blocked blocked by Jordan Elliott, recovered by Fred Warner",0.0,-1.0,17.0,2024,256
1.0,3:42,,,DET 35,6.0,7.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,256
1.0,3:42,1.0,10.0,SFO 30,6.0,7.0,"Brock Purdy sacked by Pat O'Connor for no gain. Penalty on Al-Quadin Muhammad: Defensive Holding, 5 yards (accepted) (no play)",0.94,1.27,17.0,2024,256
1.0,3:20,1.0,10.0,SFO 35,6.0,7.0,Isaac Guerendo right tackle for 1 yard (tackle by Jack Campbell),1.27,0.86,17.0,2024,256
1.0,2:40,2.0,9.0,SFO 36,6.0,7.0,Brock Purdy pass complete short right to Isaac Guerendo for 5 yards (tackle by Brian Branch),0.86,0.83,17.0,2024,256
1.0,1:58,3.0,4.0,SFO 41,6.0,7.0,Brock Purdy pass complete short left to Ricky Pearsall for 14 yards,0.83,2.59,17.0,2024,256
1.0,1:22,1.0,10.0,DET 45,6.0,7.0,Isaac Guerendo right tackle for 11 yards (tackle by Kerby Joseph and Jack Campbell),2.59,3.31,17.0,2024,256
1.0,0:41,1.0,10.0,DET 34,6.0,7.0,Brock Purdy pass complete short middle to George Kittle for 20 yards (tackle by Terrion Arnold),3.31,4.65,17.0,2024,256
1.0,0:06,1.0,10.0,DET 14,6.0,7.0,"Penalty on D.J. Reader: Encroachment, 5 yards (accepted) (no play)",4.65,5.8,17.0,2024,256
2.0,15:00,1.0,5.0,DET 9,6.0,13.0,"Brock Purdy pass complete short left to Kyle Juszczyk for 9 yards, touchdown",5.8,7.0,17.0,2024,256
