Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Chargers to receive the opening kickoff.",,,17.0,2024,244
1.0,15:00,,,NWE 35,0.0,0.0,"Joey Slye kicks off 66 yards, returned by Derius Davis for 17 yards (tackle by Brenden Schooler and Monty Rice). Penalty on Troy Dye: Offensive Holding, 8 yards (accepted)",0.0,-0.38,17.0,2024,244
1.0,14:55,1.0,10.0,LAC 8,0.0,0.0,J.K. Dobbins left end for no gain (tackle by Anfernee Jennings),-0.38,-0.78,17.0,2024,244
1.0,14:19,2.0,10.0,LAC 8,0.0,0.0,Justin Herbert pass complete short right to Josh Palmer for 4 yards (tackle by Alex Austin and Christian Elliss),-0.78,-0.95,17.0,2024,244
1.0,13:32,3.0,6.0,LAC 12,0.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Alex Austin),-0.95,0.15,17.0,2024,244
1.0,12:49,1.0,10.0,LAC 19,0.0,0.0,Justin Herbert pass incomplete short right intended for Quentin Johnston,0.15,-0.39,17.0,2024,244
1.0,12:37,2.0,10.0,LAC 19,0.0,0.0,Kimani Vidal left tackle for 6 yards (tackle by Jeremiah Pharms),-0.39,-0.29,17.0,2024,244
1.0,11:54,3.0,4.0,LAC 25,0.0,0.0,Justin Herbert pass incomplete deep right intended for Ladd McConkey,-0.29,-1.7,17.0,2024,244
1.0,11:49,4.0,4.0,LAC 25,0.0,0.0,"JK Scott punts 53 yards, returned by Alex Erickson for 15 yards (tackle by Josh Harris and Hassan Haskins)",-1.7,-1.4,17.0,2024,244
1.0,11:37,1.0,10.0,NWE 37,0.0,0.0,Rhamondre Stevenson left tackle for 5 yards (tackle by Tony Jefferson),1.4,1.53,17.0,2024,244
1.0,11:06,2.0,5.0,NWE 42,0.0,0.0,Drake Maye pass complete short right to Demario Douglas for 1 yard (tackle by Troy Dye),1.53,0.96,17.0,2024,244
1.0,10:26,3.0,4.0,NWE 43,0.0,0.0,Drake Maye sacked by Tuli Tuipulotu for -2 yards,0.96,-0.65,17.0,2024,244
1.0,9:40,,,,,,Timeout #1 by Los Angeles Chargers,,,17.0,2024,244
1.0,9:40,4.0,6.0,NWE 41,0.0,0.0,"Bryce Baringer punts 50 yards, fair catch by Derius Davis at LAC-9",-0.65,0.38,17.0,2024,244
1.0,9:33,1.0,10.0,LAC 9,0.0,0.0,Justin Herbert pass complete short middle to Tucker Fisk for 8 yards (tackle by Jahlani Tavai and Sione Takitaki),-0.38,-0.02,17.0,2024,244
1.0,8:57,2.0,2.0,LAC 17,0.0,0.0,J.K. Dobbins up the middle for 5 yards (tackle by Davon Godchaux and Daniel Ekuale),-0.02,0.41,17.0,2024,244
1.0,8:14,1.0,10.0,LAC 22,0.0,0.0,"Justin Herbert pass incomplete short left intended for Josh Palmer. Penalty on Jonathan Jones: Defensive Holding, 5 yards (accepted) (no play)",0.41,0.74,17.0,2024,244
1.0,8:09,1.0,10.0,LAC 27,0.0,0.0,J.K. Dobbins up the middle for 6 yards (tackle by Marte Mapu and Sione Takitaki),0.74,1.01,17.0,2024,244
1.0,7:30,2.0,4.0,LAC 33,0.0,0.0,J.K. Dobbins left end for 2 yards (tackle by Anfernee Jennings and Jeremiah Pharms),1.01,0.56,17.0,2024,244
1.0,6:47,3.0,2.0,LAC 35,0.0,0.0,Justin Herbert pass complete short left to Ladd McConkey for 6 yards (tackle by Jonathan Jones),0.56,1.66,17.0,2024,244
1.0,6:10,1.0,10.0,LAC 41,0.0,0.0,Justin Herbert pass complete short right to Hassan Haskins for 10 yards (tackle by Jahlani Tavai),1.66,2.32,17.0,2024,244
1.0,5:34,1.0,10.0,NWE 49,0.0,0.0,J.K. Dobbins left guard for 2 yards (tackle by Kyle Dugger and Jeremiah Pharms),2.32,2.05,17.0,2024,244
1.0,5:05,2.0,8.0,NWE 47,0.0,0.0,Justin Herbert pass incomplete short left intended for DJ Chark,2.05,1.36,17.0,2024,244
1.0,4:58,3.0,8.0,NWE 47,0.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Jonathan Jones and Kyle Dugger),1.36,0.46,17.0,2024,244
1.0,4:12,4.0,3.0,NWE 42,0.0,0.0,Justin Herbert pass complete short middle to Quentin Johnston for 19 yards (tackle by Marte Mapu),0.46,4.04,17.0,2024,244
1.0,3:27,1.0,10.0,NWE 23,6.0,0.0,"Justin Herbert pass complete deep left to Derius Davis for 23 yards, touchdown",4.04,7.0,17.0,2024,244
1.0,3:21,,,NWE 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2024,244
1.0,3:21,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,244
1.0,3:21,1.0,10.0,NWE 30,7.0,0.0,Antonio Gibson right guard for 2 yards (tackle by Poona Ford),0.94,0.66,17.0,2024,244
1.0,2:45,2.0,8.0,NWE 32,7.0,0.0,Antonio Gibson right guard for no gain (tackle by Joey Bosa),0.66,-0.03,17.0,2024,244
1.0,2:11,3.0,8.0,NWE 32,7.0,0.0,Jacoby Brissett pass incomplete short left intended for Demario Douglas,-0.03,-1.24,17.0,2024,244
1.0,2:09,4.0,8.0,NWE 32,7.0,0.0,Bryce Baringer punts 44 yards downed by Titus Leo,-1.24,-0.54,17.0,2024,244
1.0,1:58,1.0,10.0,LAC 24,7.0,0.0,Justin Herbert pass complete short right to Derius Davis for 6 yards (tackle by Jonathan Jones),0.54,0.81,17.0,2024,244
1.0,1:17,2.0,4.0,LAC 30,7.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 8 yards (tackle by Jaylinn Hawkins and Jeremiah Pharms),0.81,1.47,17.0,2024,244
1.0,0:38,1.0,10.0,LAC 38,7.0,0.0,J.K. Dobbins right guard for 9 yards (tackle by Kyle Dugger),1.47,2.14,17.0,2024,244
2.0,15:00,2.0,1.0,LAC 47,7.0,0.0,J.K. Dobbins left tackle for no gain (tackle by Kyle Dugger and Davon Godchaux),2.14,1.42,17.0,2024,244
2.0,14:27,3.0,1.0,LAC 47,7.0,0.0,Justin Herbert up the middle for 1 yard (tackle by Sione Takitaki and Jeremiah Pharms),1.42,2.13,17.0,2024,244
2.0,13:47,1.0,10.0,LAC 48,7.0,0.0,Justin Herbert pass complete deep left to Ladd McConkey for 19 yards (tackle by Christian Gonzalez),2.13,3.38,17.0,2024,244
2.0,13:18,1.0,10.0,NWE 33,7.0,0.0,Kimani Vidal up the middle for 5 yards (tackle by Daniel Ekuale and Jahlani Tavai),3.38,3.51,17.0,2024,244
2.0,12:35,2.0,5.0,NWE 28,7.0,0.0,Justin Herbert pass complete short right to Stone Smartt for 14 yards (tackle by Kyle Dugger),3.51,4.65,17.0,2024,244
2.0,11:52,1.0,10.0,NWE 14,7.0,0.0,J.K. Dobbins up the middle for 2 yards (tackle by Yannick Ngakoue and Jahlani Tavai),4.65,4.33,17.0,2024,244
2.0,11:06,2.0,8.0,NWE 12,7.0,0.0,Justin Herbert pass incomplete short right intended for Josh Palmer,4.33,3.43,17.0,2024,244
2.0,10:59,3.0,8.0,NWE 12,7.0,0.0,Justin Herbert pass complete short left to Josh Palmer for 3 yards (tackle by Marte Mapu),3.43,2.88,17.0,2024,244
2.0,10:18,4.0,5.0,NWE 9,10.0,0.0,Cameron Dicker 27 yard field goal good,2.88,3.0,17.0,2024,244
2.0,10:15,,,LAC 35,10.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,244
2.0,9:55,1.0,10.0,NWE 30,10.0,0.0,"Drake Maye scrambles right guard for 9 yards (tackle by Junior Colson). Penalty on Junior Colson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.94,2.52,17.0,2024,244
2.0,9:53,1.0,10.0,LAC 46,10.0,0.0,Rhamondre Stevenson right guard for -4 yards (tackle by Tuli Tuipulotu),2.52,1.44,17.0,2024,244
2.0,9:31,2.0,14.0,LAC 50,10.0,0.0,"Drake Maye pass complete short middle to Rhamondre Stevenson for no gain (tackle by Daiyan Henley). Penalty on Vederian Lowe: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.44,0.09,17.0,2024,244
2.0,9:03,2.0,24.0,NWE 40,10.0,0.0,"Drake Maye pass incomplete short right intended for Kayshon Boutte. Penalty on Kristian Fulton: Defensive Pass Interference, 8 yards (accepted) (no play)",0.09,2.13,17.0,2024,244
2.0,9:03,1.0,10.0,NWE 48,10.0,0.0,Drake Maye pass complete short left to Kayshon Boutte for 7 yards (tackle by Tarheeb Still),2.13,2.53,17.0,2024,244
2.0,8:37,2.0,3.0,LAC 45,10.0,0.0,"Drake Maye aborted snap, recovered by Derwin James at NE-44",2.53,-2.65,17.0,2024,244
2.0,8:35,1.0,10.0,NWE 44,10.0,0.0,J.K. Dobbins left end for 3 yards (tackle by Jahlani Tavai),2.65,2.52,17.0,2024,244
2.0,7:56,2.0,7.0,NWE 41,10.0,0.0,Justin Herbert pass complete short left to Will Dissly for 7 yards (tackle by Christian Elliss and Jahlani Tavai),2.52,3.31,17.0,2024,244
