Unnamed: 0,CAR,TAM,week,year,game_id
First Downs,13,33,17.0,2024,248
Rush-Yds-TDs,13-39-0,40-202-0,17.0,2024,248
Cmp-Att-Yd-TD-INT,15-28-203-2-0,27-32-359-5-0,17.0,2024,248
Sacked-Yards,5-38,2-10,17.0,2024,248
Net Pass Yards,165,349,17.0,2024,248
Total Yards,204,551,17.0,2024,248
Fumbles-Lost,2-0,0-0,17.0,2024,248
Turnovers,0,0,17.0,2024,248
Penalties-Yards,4-30,5-40,17.0,2024,248
Third Down Conv.,2-9,10-14,17.0,2024,248
Fourth Down Conv.,0-1,0-0,17.0,2024,248
Time of Possession,18:49,41:11,17.0,2024,248
