Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Steelers to receive the opening kickoff.",,,17.0,2024,241
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,241
1.0,15:00,1.0,10.0,PIT 30,0.0,0.0,Russell Wilson pass complete short right to Pat Freiermuth for 7 yards (tackle by Drue Tranquill),0.94,1.34,17.0,2024,241
1.0,14:27,2.0,3.0,PIT 37,0.0,0.0,Najee Harris left tackle for 1 yard (tackle by Nick Bolton),1.34,0.76,17.0,2024,241
1.0,14:03,3.0,2.0,PIT 38,0.0,0.0,"Russell Wilson sacked by Michael Danna for -11 yards. Russell Wilson fumbles (forced by Michael Danna), recovered by Russell Wilson at PIT-27",0.76,-1.57,17.0,2024,241
1.0,13:25,4.0,13.0,PIT 27,0.0,0.0,"Corliss Waitman punts 40 yards, returned by Nikko Remigio for 25 yards (tackle by Christian Kuntz)",-1.57,-2.79,17.0,2024,241
1.0,13:15,1.0,10.0,PIT 42,0.0,0.0,Isiah Pacheco right guard for 8 yards (tackle by Patrick Queen),2.79,3.32,17.0,2024,241
1.0,12:45,2.0,2.0,PIT 34,0.0,0.0,Isiah Pacheco right guard for 1 yard (tackle by Alex Highsmith),3.32,2.74,17.0,2024,241
1.0,12:07,3.0,1.0,PIT 33,0.0,0.0,Kareem Hunt right tackle for no gain (tackle by Cameron Heyward and Patrick Queen),2.74,1.21,17.0,2024,241
1.0,11:25,,,,,,Timeout #1 by Kansas City Chiefs,,,17.0,2024,241
1.0,11:25,4.0,1.0,PIT 33,0.0,0.0,Kareem Hunt up the middle for 4 yards (tackle by Patrick Queen),1.21,3.64,17.0,2024,241
1.0,11:00,,,,,,Timeout #2 by Kansas City Chiefs,,,17.0,2024,241
1.0,11:00,1.0,10.0,PIT 29,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Donte Jackson),3.64,3.64,17.0,2024,241
1.0,10:30,2.0,6.0,PIT 25,0.0,0.0,Patrick Mahomes scrambles left end for 12 yards (tackle by Minkah Fitzpatrick),3.64,4.71,17.0,2024,241
1.0,9:53,1.0,10.0,PIT 13,0.0,0.0,Patrick Mahomes pass complete short left to Noah Gray for 6 yards (tackle by Minkah Fitzpatrick),4.71,5.15,17.0,2024,241
1.0,9:23,2.0,4.0,PIT 7,6.0,0.0,"Patrick Mahomes pass complete short left to Xavier Worthy for 7 yards, touchdown",5.15,7.0,17.0,2024,241
1.0,9:19,,,PIT 15,6.0,0.0,"Penalty on Xavier Worthy: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",0.0,0.0,17.0,2024,241
1.0,9:19,,,PIT 30,6.0,0.0,Harrison Butker kicks extra point no good,0.0,-1.0,17.0,2024,241
1.0,9:19,,,KAN 35,6.0,0.0,"Harrison Butker kicks off 65 yards, returned by Cordarrelle Patterson for 23 yards (tackle by Cam Jones)",0.0,0.48,17.0,2024,241
1.0,9:14,1.0,10.0,PIT 23,6.0,0.0,Najee Harris up the middle for 2 yards (tackle by Nick Bolton and Derrick Nnadi),0.48,0.2,17.0,2024,241
