Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Jahmyr Gibbs,DET,18,117,1,5.0,65,3.6,52,2.9,2,9.0,17.0,2024,256
Craig Reynolds,DET,7,31,0,1.0,18,2.6,13,1.9,0,,17.0,2024,256
Jared Goff,DET,3,-3,0,0.0,-3,-1.0,0,0.0,0,,17.0,2024,256
Jermar Jefferson,DET,3,9,0,,2,0.7,7,2.3,0,,17.0,2024,256
Jameson Williams,DET,2,-2,1,1.0,-2,-1.0,0,0.0,1,2.0,17.0,2024,256
Isaac Guerendo,SFO,9,34,0,3.0,12,1.3,22,2.4,1,9.0,17.0,2024,256
Brock Purdy,SFO,3,12,1,2.0,9,3.0,3,1.0,0,,17.0,2024,256
Deebo Samuel,SFO,3,16,0,1.0,8,2.7,8,2.7,0,,17.0,2024,256
Ricky Pearsall,SFO,2,6,0,0.0,5,2.5,1,0.5,0,,17.0,2024,256
Joshua Dobbs,SFO,1,7,1,1.0,7,7.0,0,0.0,0,,17.0,2024,256
