Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,17.0,2024,254
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,254
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,Josh Jacobs right tackle for 2 yards (tackle by Camryn Bynum),0.94,0.66,17.0,2024,254
1.0,14:25,2.0,8.0,GNB 32,0.0,0.0,Jordan Love pass complete short right to Dontayvion Wicks for 6 yards (tackle by Stephon Gilmore),0.66,0.76,17.0,2024,254
1.0,13:42,3.0,2.0,GNB 38,0.0,0.0,Jordan Love pass complete short right to Dontayvion Wicks for 8 yards (tackle by Stephon Gilmore),0.76,1.99,17.0,2024,254
1.0,13:00,1.0,10.0,GNB 46,0.0,0.0,Josh Jacobs left guard for 6 yards (tackle by Blake Cashman),1.99,2.26,17.0,2024,254
1.0,12:15,2.0,4.0,MIN 48,0.0,0.0,"Josh Jacobs right guard for 7 yards. Josh Jacobs fumbles (forced by Jerry Tillery), recovered by Camryn Bynum at MIN-38",2.26,-1.47,17.0,2024,254
1.0,12:10,1.0,10.0,MIN 38,0.0,0.0,Aaron Jones up the middle for 7 yards (tackle by Xavier McKinney),1.47,1.87,17.0,2024,254
1.0,11:33,2.0,3.0,MIN 45,0.0,0.0,Sam Darnold pass complete short right to Johnny Mundt for 7 yards (tackle by Isaiah McDuffie),1.87,2.39,17.0,2024,254
1.0,10:52,1.0,10.0,GNB 48,0.0,0.0,Aaron Jones right guard for 1 yard (tackle by Edgerrin Cooper),2.39,2.05,17.0,2024,254
1.0,10:16,2.0,8.0,GNB 47,0.0,0.0,Sam Darnold pass incomplete short left,2.05,1.36,17.0,2024,254
1.0,10:11,3.0,8.0,GNB 47,0.0,0.0,Sam Darnold pass complete short left to C.J. Ham for 2 yards (tackle by Xavier McKinney),1.36,0.27,17.0,2024,254
1.0,9:30,4.0,7.0,GNB 45,0.0,0.0,Ryan Wright punts 30 yards out of bounds,0.27,0.22,17.0,2024,254
1.0,9:23,1.0,10.0,GNB 15,0.0,0.0,Jordan Love pass incomplete deep left intended for Romeo Doubs,-0.22,-0.71,17.0,2024,254
1.0,9:18,2.0,10.0,GNB 15,0.0,0.0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,-0.71,-1.37,17.0,2024,254
