Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Colts to receive the opening kickoff.",,,17.0,2024,249
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
1.0,15:00,1.0,10.0,IND 30,0.0,0.0,Joe Flacco pass complete short left to Michael Pittman for 6 yards (tackle by Deonte Banks),0.94,1.2,17.0,2024,249
1.0,14:25,2.0,4.0,IND 36,0.0,0.0,Jonathan Taylor left end for 1 yard (tackle by Darius Muasau),1.2,0.63,17.0,2024,249
1.0,13:45,3.0,3.0,IND 37,0.0,0.0,Joe Flacco pass complete deep right to Alec Pierce for 20 yards (tackle by Jason Pinnock),0.63,2.72,17.0,2024,249
1.0,13:10,1.0,10.0,NYG 43,0.0,0.0,Joe Flacco pass incomplete deep middle intended for Alec Pierce,2.72,2.18,17.0,2024,249
1.0,13:03,2.0,10.0,NYG 43,0.0,0.0,Joe Flacco pass complete short left to Adonai Mitchell for 13 yards (tackle by Deonte Banks),2.18,3.58,17.0,2024,249
1.0,12:24,1.0,10.0,NYG 30,0.0,0.0,Joe Flacco right end for 1 yard (tackle by Ty Summers and Boogie Basham),3.58,3.17,17.0,2024,249
1.0,11:41,2.0,9.0,NYG 29,0.0,0.0,Joe Flacco pass deep right intended for Mo Alie-Cox is intercepted by Dane Belton at NYG-6 and returned for no gain (tackle by Mo Alie-Cox),3.17,0.38,17.0,2024,249
1.0,11:36,1.0,10.0,NYG 6,0.0,0.0,Tyrone Tracy left guard for -1 yards (tackle by Kwity Paye),-0.38,-0.85,17.0,2024,249
1.0,11:05,2.0,11.0,NYG 5,0.0,0.0,Tyrone Tracy left guard for -1 yards (tackle by Zaire Franklin),-0.85,-1.65,17.0,2024,249
1.0,10:30,3.0,12.0,NYG 4,0.0,0.0,"Penalty on Aaron Stinnie: False Start, 2 yards (accepted) (no play)",-1.65,-1.89,17.0,2024,249
1.0,10:17,3.0,14.0,NYG 2,0.0,0.0,Drew Lock pass complete short middle to Tyrone Tracy for 13 yards (tackle by Zaire Franklin and Julian Blackmon),-1.89,-2.44,17.0,2024,249
1.0,9:35,4.0,1.0,NYG 15,0.0,0.0,"Jamie Gillan punts 48 yards, fair catch by Anthony Gould at IND-37",-2.44,-1.4,17.0,2024,249
1.0,9:28,1.0,10.0,IND 37,0.0,0.0,Jonathan Taylor right guard for 1 yard (tackle by Brian Burns and Darius Muasau),1.4,0.99,17.0,2024,249
1.0,8:54,2.0,9.0,IND 38,0.0,0.0,Joe Flacco pass complete short right to Alec Pierce for 19 yards (tackle by Brian Burns),0.99,2.72,17.0,2024,249
1.0,8:13,1.0,10.0,NYG 43,0.0,0.0,Jonathan Taylor left tackle for 8 yards (tackle by Ty Summers and Jason Pinnock),2.72,3.26,17.0,2024,249
1.0,7:32,2.0,2.0,NYG 35,0.0,0.0,Jonathan Taylor right guard for 5 yards (tackle by Elijah Garcia and Armon Watts),3.26,3.58,17.0,2024,249
1.0,6:56,1.0,10.0,NYG 30,0.0,0.0,Jonathan Taylor right tackle for 3 yards (tackle by Jason Pinnock),3.58,3.44,17.0,2024,249
1.0,6:19,2.0,7.0,NYG 27,0.0,0.0,Joe Flacco pass complete short middle to Adonai Mitchell for 9 yards (tackle by Andru Phillips),3.44,4.37,17.0,2024,249
1.0,5:40,1.0,10.0,NYG 18,0.0,0.0,Jonathan Taylor left tackle for 4 yards (tackle by Deonte Banks),4.37,4.43,17.0,2024,249
1.0,5:07,2.0,6.0,NYG 14,0.0,0.0,Jonathan Taylor right guard for 4 yards (tackle by Jason Pinnock),4.43,4.51,17.0,2024,249
1.0,4:30,3.0,2.0,NYG 10,0.0,0.0,Joe Flacco sacked by Rakeem Nunez-Roches for -3 yards,4.51,2.62,17.0,2024,249
1.0,3:48,4.0,5.0,NYG 13,3.0,0.0,Matt Gay 32 yard field goal good,2.62,3.0,17.0,2024,249
1.0,3:45,,,IND 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
1.0,3:45,1.0,10.0,NYG 30,3.0,0.0,Tyrone Tracy up the middle for 3 yards (tackle by DeForest Buckner and E.J. Speed),0.94,0.8,17.0,2024,249
1.0,3:08,2.0,7.0,NYG 33,3.0,0.0,Tyrone Tracy right tackle for 40 yards (tackle by Julian Blackmon),0.8,3.78,17.0,2024,249
1.0,2:24,1.0,10.0,IND 27,3.0,0.0,Tyrone Tracy left end for -5 yards (tackle by Zaire Franklin),3.78,2.56,17.0,2024,249
1.0,1:48,2.0,15.0,IND 32,3.0,0.0,Devin Singletary up the middle for 1 yard (tackle by Zaire Franklin),2.56,2.02,17.0,2024,249
1.0,1:13,3.0,14.0,IND 31,3.0,6.0,"Drew Lock pass complete short right to Malik Nabers for 31 yards, touchdown",2.02,7.0,17.0,2024,249
1.0,1:05,,,IND 15,3.0,7.0,Graham Gano kicks extra point good,0.0,0.0,17.0,2024,249
1.0,1:05,,,NYG 35,3.0,7.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
1.0,1:05,1.0,10.0,IND 30,3.0,7.0,Jonathan Taylor right end for 1 yard (tackle by Ty Summers and Andru Phillips),0.94,0.53,17.0,2024,249
1.0,0:29,2.0,9.0,IND 31,3.0,7.0,Joe Flacco pass incomplete short right intended for Jonathan Taylor,0.53,-0.16,17.0,2024,249
1.0,0:25,3.0,9.0,IND 31,3.0,7.0,Joe Flacco pass complete short left to Kylen Granson for 27 yards (tackle by Jason Pinnock and Isaiah Simmons),-0.16,2.79,17.0,2024,249
2.0,15:00,1.0,10.0,NYG 42,3.0,7.0,Jonathan Taylor right end for 2 yards (tackle by Ty Summers and Boogie Basham),2.79,2.51,17.0,2024,249
2.0,14:26,2.0,8.0,NYG 40,3.0,7.0,Joe Flacco pass incomplete short right intended for Michael Pittman (defended by Adoree' Jackson),2.51,1.82,17.0,2024,249
2.0,14:23,3.0,8.0,NYG 40,3.0,7.0,Jonathan Taylor right guard for 5 yards (tackle by Isaiah Simmons and Darius Muasau),1.82,0.99,17.0,2024,249
2.0,13:43,4.0,3.0,NYG 35,3.0,7.0,Matt Gay 54 yard field goal no good,0.99,-1.86,17.0,2024,249
2.0,13:39,1.0,10.0,NYG 44,3.0,7.0,Tyrone Tracy up the middle for 3 yards (tackle by DeForest Buckner and Grover Stewart),1.86,1.72,17.0,2024,249
2.0,13:00,2.0,7.0,NYG 47,3.0,7.0,Drew Lock pass complete short middle to Malik Nabers for 19 yards (tackle by Jaylon Jones and Nick Cross),1.72,3.31,17.0,2024,249
2.0,12:16,1.0,10.0,IND 34,3.0,7.0,Drew Lock pass incomplete short left intended for Darius Slayton,3.31,2.77,17.0,2024,249
2.0,12:10,2.0,10.0,IND 34,3.0,7.0,Devin Singletary left tackle for 2 yards (tackle by Jaylon Jones and Grover Stewart),2.77,2.35,17.0,2024,249
2.0,11:41,3.0,8.0,IND 32,3.0,13.0,"Drew Lock pass complete short middle to Darius Slayton for 32 yards, touchdown",2.35,7.0,17.0,2024,249
2.0,11:32,,,IND 15,3.0,14.0,Graham Gano kicks extra point good,0.0,0.0,17.0,2024,249
2.0,11:32,,,NYG 35,3.0,14.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
2.0,11:32,1.0,10.0,IND 30,3.0,14.0,Joe Flacco pass complete short right to Alec Pierce for 8 yards (tackle by Andru Phillips),0.94,1.47,17.0,2024,249
2.0,10:53,2.0,2.0,IND 38,3.0,14.0,Jonathan Taylor right guard for 6 yards (tackle by Rakeem Nunez-Roches),1.47,1.86,17.0,2024,249
2.0,10:16,1.0,10.0,IND 44,3.0,14.0,Joe Flacco pass incomplete deep right intended for Adonai Mitchell,1.86,1.32,17.0,2024,249
2.0,10:09,2.0,10.0,IND 44,3.0,14.0,"Joe Flacco pass incomplete deep left intended for Alec Pierce. Penalty on Deonte Banks: Defensive Pass Interference, 44 yards (accepted) (no play)",1.32,4.78,17.0,2024,249
2.0,10:00,1.0,10.0,NYG 12,3.0,14.0,Joe Flacco pass incomplete short left intended for Jonathan Taylor,4.78,4.1,17.0,2024,249
2.0,9:56,2.0,10.0,NYG 12,3.0,14.0,"Joe Flacco pass complete short left to Kylen Granson for 1 yard (tackle by Dane Belton). Penalty on Bernhard Raimann: Ineligible Downfield Pass, 5 yards (declined)",4.1,3.29,17.0,2024,249
2.0,9:39,3.0,9.0,NYG 11,3.0,14.0,Joe Flacco pass incomplete short left intended for Alec Pierce (defended by Kayvon Thibodeaux),3.29,2.7,17.0,2024,249
2.0,9:29,4.0,9.0,NYG 11,6.0,14.0,Matt Gay 29 yard field goal good,2.7,3.0,17.0,2024,249
2.0,9:26,,,IND 35,6.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
2.0,9:26,1.0,10.0,NYG 30,6.0,14.0,Devin Singletary right guard for 5 yards (tackle by Nick Cross),0.94,1.07,17.0,2024,249
2.0,8:45,2.0,5.0,NYG 35,6.0,14.0,Devin Singletary up the middle for 13 yards (tackle by Julian Blackmon and Nick Cross),1.07,2.13,17.0,2024,249
2.0,7:57,1.0,10.0,NYG 48,6.0,14.0,"Tyrone Tracy up the middle for 6 yards (tackle by Nick Cross and Zaire Franklin). Penalty on Taven Bryan: Defensive Holding, 5 yards (accepted)",2.13,2.85,17.0,2024,249
2.0,7:45,1.0,10.0,IND 41,6.0,14.0,Drew Lock pass complete deep right to Malik Nabers for 34 yards (tackle by Kenny Moore),2.85,5.6,17.0,2024,249
2.0,6:56,1.0,7.0,IND 7,6.0,14.0,"Tyrone Tracy up the middle for no gain (tackle by DeForest Buckner). Penalty on Daniel Bellinger: Chop Block, 15 yards (accepted) (no play)",5.6,4.11,17.0,2024,249
2.0,6:52,1.0,22.0,IND 22,6.0,14.0,Tyrone Tracy right guard for 2 yards (tackle by Zaire Franklin and Tyquan Lewis),4.11,3.0,17.0,2024,249
2.0,6:09,2.0,20.0,IND 20,6.0,14.0,"Drew Lock pass complete deep left to Malik Nabers for 19 yards (tackle by Jaylon Jones) IND challenged the pass completion ruling, and the play was upheld.",3.0,5.17,17.0,2024,249
2.0,6:02,3.0,1.0,IND 1,6.0,14.0,"Penalty on Jake Kubas: False Start, 4 yards (accepted) (no play)",5.17,4.26,17.0,2024,249
2.0,6:02,3.0,5.0,IND 5,6.0,20.0,"Drew Lock pass complete short right to Wan'Dale Robinson for 5 yards, touchdown",4.26,7.0,17.0,2024,249
2.0,5:55,,,IND 15,6.0,21.0,Graham Gano kicks extra point good,0.0,0.0,17.0,2024,249
2.0,5:55,,,NYG 35,6.0,21.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
2.0,5:55,1.0,10.0,IND 30,6.0,21.0,Joe Flacco pass complete short middle to Jonathan Taylor for 7 yards (tackle by Ty Summers),0.94,1.34,17.0,2024,249
2.0,5:19,2.0,3.0,IND 37,6.0,21.0,Jonathan Taylor right guard for 2 yards (tackle by Elijah Chatman),1.34,0.89,17.0,2024,249
2.0,4:39,3.0,1.0,IND 39,6.0,21.0,Jonathan Taylor up the middle for 2 yards (tackle by Dane Belton),0.89,1.66,17.0,2024,249
2.0,3:56,1.0,10.0,IND 41,6.0,21.0,Joe Flacco pass complete short left to Alec Pierce for 13 yards (tackle by Jason Pinnock),1.66,2.52,17.0,2024,249
2.0,3:18,1.0,10.0,NYG 46,6.0,21.0,Joe Flacco pass complete short left to Michael Pittman for 13 yards (tackle by Jason Pinnock),2.52,3.38,17.0,2024,249
2.0,2:46,1.0,10.0,NYG 33,6.0,21.0,Joe Flacco pass incomplete short left,3.38,2.84,17.0,2024,249
2.0,2:44,2.0,10.0,NYG 33,6.0,21.0,Joe Flacco pass complete short middle to Michael Pittman for 8 yards (tackle by Darius Muasau and Ty Summers),2.84,3.2,17.0,2024,249
