Unnamed: 0,TEN,JAX,week,year,game_id
First Downs,23,18,17.0,2024,251
Rush-Yds-TDs,30-159-0,33-122-0,17.0,2024,251
Cmp-Att-Yd-TD-INT,19-31-193-1-1,15-22-174-2-0,17.0,2024,251
Sacked-Yards,3-15,2-1,17.0,2024,251
Net Pass Yards,178,173,17.0,2024,251
Total Yards,337,295,17.0,2024,251
Fumbles-Lost,2-0,0-0,17.0,2024,251
Turnovers,1,0,17.0,2024,251
Penalties-Yards,5-34,7-50,17.0,2024,251
Third Down Conv.,7-14,8-13,17.0,2024,251
Fourth Down Conv.,1-2,0-0,17.0,2024,251
Time of Possession,30:40,29:20,17.0,2024,251
