Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,,17.0,2024,245
1,15:00,,,CIN 35,0.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
1,15:00,1.0,10.0,DEN 30,0.0,0.0,Jaleel McLaughlin left guard for 12 yards (tackle by Cam Taylor-Britt),0.94,1.73,17.0,2024,245
1,14:36,1.0,10.0,DEN 42,0.0,0.0,Bo Nix pass complete short left to Marvin Mims for 4 yards (tackle by Geno Stone),1.73,1.73,17.0,2024,245
1,13:59,2.0,6.0,DEN 46,0.0,0.0,Bo Nix pass complete short left to Audric Estime for 13 yards (tackle by McKinnley Jackson),1.73,2.85,17.0,2024,245
1,13:18,1.0,10.0,CIN 41,0.0,0.0,Bo Nix pass complete short left to Jaleel McLaughlin for 3 yards (tackle by Cam Taylor-Britt),2.85,2.71,17.0,2024,245
1,12:47,2.0,7.0,CIN 38,0.0,0.0,Bo Nix scrambles right end for 2 yards (tackle by Germaine Pratt),2.71,2.28,17.0,2024,245
1,12:04,3.0,5.0,CIN 36,0.0,0.0,Bo Nix pass complete short middle to Devaughn Vele for 16 yards (tackle by Josh Newton),2.28,4.24,17.0,2024,245
1,11:22,1.0,10.0,CIN 20,0.0,0.0,Bo Nix scrambles left end for 5 yards (tackle by Akeem Davis-Gaither),4.24,4.45,17.0,2024,245
1,10:39,2.0,5.0,CIN 15,0.0,0.0,Audric Estime up the middle for 3 yards (tackle by Cedric Johnson),4.45,4.34,17.0,2024,245
1,9:53,,,,,,Timeout #1 by Denver Broncos,,,17.0,2024,245
1,9:53,3.0,2.0,CIN 12,0.0,0.0,Bo Nix pass incomplete short right intended for Courtland Sutton,4.34,2.76,17.0,2024,245
1,9:49,4.0,2.0,CIN 12,3.0,0.0,Wil Lutz 30 yard field goal good,2.76,3.0,17.0,2024,245
1,9:45,,,DEN 35,3.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
1,9:45,1.0,10.0,CIN 30,3.0,0.0,Joe Burrow pass complete short right to Cam Grandy for 7 yards (tackle by Brandon Jones),0.94,1.34,17.0,2024,245
1,9:09,2.0,3.0,CIN 37,3.0,0.0,Chase Brown left tackle for 9 yards (tackle by Ja'Quan McMillian),1.34,1.99,17.0,2024,245
1,8:33,1.0,10.0,CIN 46,3.0,0.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,1.99,1.45,17.0,2024,245
1,8:28,2.0,10.0,CIN 46,3.0,0.0,Joe Burrow pass complete short middle to Mike Gesicki for 12 yards (tackle by Brandon Jones),1.45,2.79,17.0,2024,245
1,7:51,1.0,10.0,DEN 42,3.0,0.0,Chase Brown left guard for 4 yards (tackle by Riley Moss),2.79,2.78,17.0,2024,245
1,7:13,2.0,6.0,DEN 38,3.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Nik Bonitto),2.78,2.08,17.0,2024,245
1,7:11,3.0,6.0,DEN 38,3.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Patrick Surtain),2.08,3.51,17.0,2024,245
1,6:28,1.0,10.0,DEN 31,3.0,0.0,Chase Brown left end for 1 yard (tackle by Dondrea Tillman),3.51,3.1,17.0,2024,245
1,5:47,2.0,9.0,DEN 30,3.0,0.0,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by Jonah Elliss),3.1,3.2,17.0,2024,245
1,5:10,3.0,3.0,DEN 24,3.0,0.0,Chase Brown up the middle for 2 yards (tackle by Dondrea Tillman and Brandon Jones),3.2,2.14,17.0,2024,245
1,4:32,,,,,,Timeout #1 by Cincinnati Bengals,,,17.0,2024,245
1,4:32,4.0,1.0,DEN 22,3.0,0.0,Chase Brown right guard for no gain (tackle by Nik Bonitto),2.14,-0.48,17.0,2024,245
1,4:23,1.0,10.0,DEN 23,3.0,0.0,Jaleel McLaughlin right tackle for 9 yards (tackle by Germaine Pratt),0.48,1.15,17.0,2024,245
1,3:41,2.0,1.0,DEN 32,3.0,0.0,Audric Estime right guard for 1 yard (tackle by Joseph Ossai and Jordan Battle),1.15,1.14,17.0,2024,245
1,2:55,1.0,10.0,DEN 33,3.0,0.0,"Penalty on Quinn Meinerz: False Start, 5 yards (accepted) (no play)",1.14,0.81,17.0,2024,245
1,2:38,1.0,15.0,DEN 28,3.0,0.0,Audric Estime left guard for 3 yards (tackle by Mike Hilton),0.81,0.32,17.0,2024,245
1,1:56,2.0,12.0,DEN 31,3.0,0.0,Bo Nix pass complete short left to Jaleel McLaughlin for 4 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),0.32,0.17,17.0,2024,245
1,1:25,3.0,8.0,DEN 35,3.0,0.0,Bo Nix scrambles right end for 2 yards (tackle by Joseph Ossai),0.17,-0.91,17.0,2024,245
1,0:44,4.0,6.0,DEN 37,3.0,0.0,"Riley Dixon punts 40 yards, returned by Isaiah Williams for 4 yards (tackle by Drew Sanders and JL Skinner)",-0.91,-0.74,17.0,2024,245
1,0:32,1.0,10.0,CIN 27,3.0,0.0,Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Cody Barton),0.74,0.2,17.0,2024,245
1,0:26,2.0,10.0,CIN 27,3.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 12 yards (tackle by Riley Moss),0.2,1.53,17.0,2024,245
2,15:00,1.0,10.0,CIN 39,3.0,0.0,Chase Brown left tackle for 6 yards (tackle by Justin Strnad and Brandon Jones),1.53,1.8,17.0,2024,245
2,14:26,2.0,4.0,CIN 45,3.0,0.0,Chase Brown left guard for 3 yards (tackle by Ja'Quan McMillian and Riley Moss),1.8,1.49,17.0,2024,245
2,13:45,3.0,1.0,CIN 48,3.0,0.0,Joe Burrow pass complete short right to Drew Sample for 3 yards (tackle by Brandon Jones and Ja'Quan McMillian),1.49,2.32,17.0,2024,245
2,13:06,1.0,10.0,DEN 49,3.0,0.0,Joe Burrow sacked by Zach Allen for -1 yards,2.32,1.65,17.0,2024,245
2,12:12,2.0,11.0,DEN 50,3.0,0.0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by Ja'Quan McMillian). Penalty on Ja'Quan McMillian: Illegal Use of Hands / Defense, 4 yards (accepted) (no play)",1.65,2.52,17.0,2024,245
2,12:03,1.0,10.0,DEN 46,3.0,0.0,Chase Brown left tackle for 1 yard (tackle by P.J. Locke),2.52,2.11,17.0,2024,245
2,11:26,2.0,9.0,DEN 45,3.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 2 yards (tackle by Riley Moss),2.11,1.68,17.0,2024,245
2,10:43,3.0,7.0,DEN 43,3.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 15 yards (tackle by Riley Moss),1.68,3.71,17.0,2024,245
2,10:05,1.0,10.0,DEN 28,3.0,0.0,Joe Burrow pass complete short right to Chase Brown for no gain (tackle by Jonathon Cooper),3.71,3.17,17.0,2024,245
2,9:22,2.0,10.0,DEN 28,3.0,0.0,Joe Burrow pass complete short right to Mike Gesicki for 8 yards (tackle by Riley Moss),3.17,3.53,17.0,2024,245
2,8:44,3.0,2.0,DEN 20,3.0,0.0,Joe Burrow pass complete short right to Chase Brown for 9 yards (tackle by Riley Moss),3.53,4.84,17.0,2024,245
2,8:06,1.0,10.0,DEN 11,3.0,0.0,Chase Brown up the middle for 3 yards (tackle by Cody Barton and P.J. Locke),4.84,4.7,17.0,2024,245
2,7:22,,,,,,Timeout #2 by Cincinnati Bengals,,,17.0,2024,245
2,7:22,2.0,7.0,DEN 8,3.0,0.0,"Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Riley Moss: Defensive Pass Interference, 7 yards (accepted) (no play)",4.7,6.97,17.0,2024,245
2,7:18,1.0,1.0,DEN 1,3.0,0.0,Joe Burrow pass incomplete short left intended for Mike Gesicki,6.97,5.91,17.0,2024,245
2,7:14,2.0,1.0,DEN 1,3.0,0.0,Chase Brown right guard for -1 yards (tackle by Justin Strnad and Devon Key),5.91,4.95,17.0,2024,245
2,6:29,3.0,2.0,DEN 2,3.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,4.95,3.25,17.0,2024,245
2,6:26,4.0,2.0,DEN 2,3.0,0.0,Joe Burrow sacked by Jonathon Cooper for -3 yards,3.25,0.38,17.0,2024,245
2,6:18,1.0,10.0,DEN 5,3.0,0.0,Audric Estime right guard for 2 yards (tackle by Joseph Ossai),-0.38,-0.63,17.0,2024,245
2,5:43,2.0,8.0,DEN 7,3.0,0.0,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Joseph Ossai),-0.63,-1.19,17.0,2024,245
2,5:39,3.0,8.0,DEN 7,3.0,0.0,Bo Nix pass complete short right to Nate Adkins for 7 yards (tackle by Trey Hendrickson),-1.19,-2.47,17.0,2024,245
2,5:02,4.0,1.0,DEN 14,3.0,0.0,"Riley Dixon punts 48 yards, fair catch by Isaiah Williams at CIN-38",-2.47,-1.47,17.0,2024,245
2,4:55,1.0,10.0,CIN 38,3.0,0.0,Chase Brown right guard for 5 yards (tackle by D.J. Jones and Brandon Jones),1.47,1.6,17.0,2024,245
2,4:15,2.0,5.0,CIN 43,3.0,0.0,Chase Brown right end for 8 yards (tackle by Brandon Jones),1.6,2.32,17.0,2024,245
2,3:32,1.0,10.0,DEN 49,3.0,0.0,"Joe Burrow pass incomplete short right intended for Chase Brown (defended by Dondrea Tillman). Penalty on Justin Strnad: Illegal Contact, 5 yards (accepted) (no play)",2.32,2.65,17.0,2024,245
