Unnamed: 0,SEA,CHI,week,year,game_id
First Downs,12,11,17.0,2024,243
Rush-Yds-TDs,25-122-0,23-103-0,17.0,2024,243
Cmp-Att-Yd-TD-INT,17-23-160-0-0,16-28-122-0-1,17.0,2024,243
Sacked-Yards,3-17,7-46,17.0,2024,243
Net Pass Yards,143,76,17.0,2024,243
Total Yards,265,179,17.0,2024,243
Fumbles-Lost,3-1,2-0,17.0,2024,243
Turnovers,1,1,17.0,2024,243
Penalties-Yards,3-25,4-23,17.0,2024,243
Third Down Conv.,5-13,5-15,17.0,2024,243
Fourth Down Conv.,0-0,1-2,17.0,2024,243
Time of Possession,29:40,30:20,17.0,2024,243
