Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Darnell Wright,T,61,100%,0,0%,1,5%,1,Bears,17.0,2024,243
Coleman Shelton,C,61,100%,0,0%,1,5%,1,Bears,17.0,2024,243
Matt Pryor,T,61,100%,0,0%,1,5%,1,Bears,17.0,2024,243
Jake Curhan,T,61,100%,0,0%,1,5%,1,Bears,17.0,2024,243
Caleb Williams,QB,61,100%,0,0%,0,0%,1,Bears,17.0,2024,243
Larry Borom,T,61,100%,0,0%,0,0%,1,Bears,17.0,2024,243
D.J. Moore,WR,58,95%,0,0%,0,0%,1,Bears,17.0,2024,243
Keenan Allen,WR,58,95%,0,0%,0,0%,1,Bears,17.0,2024,243
Cole Kmet,TE,57,93%,0,0%,1,5%,1,Bears,17.0,2024,243
Rome Odunze,WR,56,92%,0,0%,0,0%,1,Bears,17.0,2024,243
D'Andre Swift,RB,40,66%,0,0%,0,0%,1,Bears,17.0,2024,243
Roschon Johnson,RB,20,33%,0,0%,12,57%,1,Bears,17.0,2024,243
Marcedes Lewis,TE,7,11%,0,0%,1,5%,1,Bears,17.0,2024,243
Gerald Everett,TE,5,8%,0,0%,0,0%,1,Bears,17.0,2024,243
Collin Johnson,WR,4,7%,0,0%,16,76%,1,Bears,17.0,2024,243
Jonathan Owens,SS,0,0%,52,100%,11,52%,1,Bears,17.0,2024,243
Tyrique Stevenson,CB,0,0%,52,100%,8,38%,1,Bears,17.0,2024,243
T.J. Edwards,LB,0,0%,52,100%,2,10%,1,Bears,17.0,2024,243
Tremaine Edmunds,LB,0,0%,52,100%,2,10%,1,Bears,17.0,2024,243
Jaylon Johnson,CB,0,0%,52,100%,0,0%,1,Bears,17.0,2024,243
Kevin Byard,FS,0,0%,52,100%,0,0%,1,Bears,17.0,2024,243
Kyler Gordon,CB,0,0%,47,90%,2,10%,1,Bears,17.0,2024,243
Gervon Dexter,DT,0,0%,29,56%,4,19%,1,Bears,17.0,2024,243
Montez Sweat,DE,0,0%,25,48%,2,10%,1,Bears,17.0,2024,243
Chris Williams,DT,0,0%,24,46%,0,0%,1,Bears,17.0,2024,243
Jacob Martin,DE,0,0%,23,44%,13,62%,1,Bears,17.0,2024,243
Darrell Taylor,DE,0,0%,22,42%,1,5%,1,Bears,17.0,2024,243
DeMarcus Walker,DE,0,0%,22,42%,1,5%,1,Bears,17.0,2024,243
Jonathan Ford,DT,0,0%,19,37%,0,0%,1,Bears,17.0,2024,243
Byron Cowart,DT,0,0%,17,33%,2,10%,1,Bears,17.0,2024,243
Austin Booker,DE,0,0%,11,21%,2,10%,1,Bears,17.0,2024,243
Daniel Hardy,DE,0,0%,10,19%,19,90%,1,Bears,17.0,2024,243
Dominique Robinson,DE,0,0%,6,12%,9,43%,1,Bears,17.0,2024,243
Jack Sanborn,LB,0,0%,5,10%,18,86%,1,Bears,17.0,2024,243
Amen Ogbongbemiga,LB,0,0%,0,0%,18,86%,1,Bears,17.0,2024,243
Josh Blackwell,CB,0,0%,0,0%,17,81%,1,Bears,17.0,2024,243
Adrian Colbert,FS,0,0%,0,0%,11,52%,1,Bears,17.0,2024,243
Tyler Scott,WR,0,0%,0,0%,10,48%,1,Bears,17.0,2024,243
Terell Smith,CB,0,0%,0,0%,9,43%,1,Bears,17.0,2024,243
Darrynton Evans,RB,0,0%,0,0%,9,43%,1,Bears,17.0,2024,243
Scott Daly,LS,0,0%,0,0%,8,38%,1,Bears,17.0,2024,243
Tory Taylor,P,0,0%,0,0%,8,38%,1,Bears,17.0,2024,243
Ameer Speed,CB,0,0%,0,0%,6,29%,1,Bears,17.0,2024,243
Cairo Santos,K,0,0%,0,0%,3,14%,1,Bears,17.0,2024,243
Doug Kramer,C,0,0%,0,0%,1,5%,1,Bears,17.0,2024,243
Chris Glaser,G,0,0%,0,0%,1,5%,1,Bears,17.0,2024,243
