Unnamed: 0,IND,NYG,week,year,game_id
First Downs,25,15,17.0,2024,249
Rush-Yds-TDs,33-126-2,30-80-1,17.0,2024,249
Cmp-Att-Yd-TD-INT,26-38-330-2-2,17-23-309-4-0,17.0,2024,249
Sacked-Yards,2-10,0-0,17.0,2024,249
Net Pass Yards,320,309,17.0,2024,249
Total Yards,446,389,17.0,2024,249
Fumbles-Lost,1-1,1-0,17.0,2024,249
Turnovers,3,0,17.0,2024,249
Penalties-Yards,3-21,7-94,17.0,2024,249
Third Down Conv.,7-13,7-13,17.0,2024,249
Fourth Down Conv.,1-2,0-1,17.0,2024,249
Time of Possession,33:23,26:37,17.0,2024,249
