Unnamed: 0,DEN,CIN,week,year,game_id
First Downs,19,34,17.0,2024,245
Rush-Yds-TDs,27-123-0,28-115-1,17.0,2024,245
Cmp-Att-Yd-TD-INT,24-31-219-3-1,39-49-412-3-0,17.0,2024,245
Sacked-Yards,2-13,7-28,17.0,2024,245
Net Pass Yards,206,384,17.0,2024,245
Total Yards,329,499,17.0,2024,245
Fumbles-Lost,2-0,1-1,17.0,2024,245
Turnovers,1,1,17.0,2024,245
Penalties-Yards,7-35,3-15,17.0,2024,245
Third Down Conv.,4-12,7-13,17.0,2024,245
Fourth Down Conv.,1-1,1-3,17.0,2024,245
Time of Possession,26:57,41:56,17.0,2024,245
