Unnamed: 0,DET,SFO,week,year,game_id
First Downs,23,29,17.0,2024,256
Rush-Yds-TDs,33-152-2,18-75-2,17.0,2024,256
Cmp-Att-Yd-TD-INT,26-34-303-3-0,30-40-412-3-2,17.0,2024,256
Sacked-Yards,2-16,2-12,17.0,2024,256
Net Pass Yards,287,400,17.0,2024,256
Total Yards,439,475,17.0,2024,256
Fumbles-Lost,0-0,2-0,17.0,2024,256
Turnovers,0,2,17.0,2024,256
Penalties-Yards,6-57,5-30,17.0,2024,256
Third Down Conv.,9-14,5-8,17.0,2024,256
Fourth Down Conv.,2-3,1-1,17.0,2024,256
Time of Possession,34:52,25:08,17.0,2024,256
