Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Raheem Blackshear,CAR,8,20,0,,10,1.3,10,1.3,0,,17.0,2024,248
Mike Boone,CAR,2,11,0,1.0,5,2.5,6,3.0,0,,17.0,2024,248
Bryce Young,CAR,2,8,0,1.0,8,4.0,0,0.0,0,,17.0,2024,248
Velus Jones Jr.,CAR,1,0,0,,0,0.0,0,0.0,0,,17.0,2024,248
Bucky Irving,TAM,20,113,0,7.0,77,3.9,36,1.8,1,20.0,17.0,2024,248
Sean Tucker,TAM,8,39,0,2.0,15,1.9,24,3.0,4,2.0,17.0,2024,248
Rachaad White,TAM,6,30,0,3.0,14,2.3,16,2.7,1,6.0,17.0,2024,248
Kyle Trask,TAM,3,-2,0,,-2,-0.7,0,0.0,0,,17.0,2024,248
Kameron Johnson,TAM,1,11,0,1.0,10,10.0,1,1.0,0,,17.0,2024,248
Baker Mayfield,TAM,1,2,0,0.0,2,2.0,0,0.0,0,,17.0,2024,248
Jalen McMillan,TAM,1,9,0,1.0,7,7.0,2,2.0,0,,17.0,2024,248
