Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Bills,28.0,14.14,22.3,-7.5,0.0,10.4,6.24,1.21,13.87,1.56,-4.02,4.35,0.06,0.35,0.82,17.0,2024,247
Jets,-28.0,-10.4,-6.24,-1.21,-13.87,-14.14,-22.3,7.5,0.0,-1.56,-4.35,4.02,-0.35,-0.06,-0.82,17.0,2024,247
