Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,17.0,2024,251
1.0,15:00,,,TEN 35,0.0,0.0,"Matthew Wright kicks off 63 yards, returned by Devin Duvernay for 30 yards (tackle by David Martin-Robinson)",0.0,1.07,17.0,2024,251
1.0,14:54,1.0,10.0,JAX 32,0.0,0.0,Mac Jones pass complete short right to Brian Thomas for 11 yards (tackle by Roger McCreary),1.07,1.8,17.0,2024,251
1.0,14:24,1.0,10.0,JAX 43,0.0,0.0,Travis Etienne up the middle for 1 yard (tackle by T'Vondre Sweat and Arden Key),1.8,1.39,17.0,2024,251
1.0,14:05,2.0,9.0,JAX 44,0.0,0.0,Mac Jones scrambles left end for 7 yards (tackle by Jerome Baker and Jarvis Brownlee),1.39,1.62,17.0,2024,251
1.0,13:21,3.0,2.0,TEN 49,0.0,0.0,Tank Bigsby right guard for 4 yards (tackle by Daryl Worley),1.62,2.59,17.0,2024,251
1.0,12:37,1.0,10.0,TEN 45,0.0,0.0,Mac Jones pass complete short middle to Tim Jones for 11 yards (tackle by Daryl Worley),2.59,3.31,17.0,2024,251
1.0,12:05,1.0,10.0,TEN 34,0.0,0.0,Travis Etienne right tackle for 2 yards (tackle by Arden Key and Daryl Worley),3.31,3.04,17.0,2024,251
1.0,11:40,2.0,8.0,TEN 32,0.0,0.0,Travis Etienne up the middle for 2 yards (tackle by Arden Key),3.04,2.61,17.0,2024,251
1.0,11:04,3.0,6.0,TEN 30,0.0,0.0,Mac Jones pass incomplete short middle intended for Brenton Strange (defended by Luke Gifford),2.61,1.43,17.0,2024,251
1.0,10:50,4.0,6.0,TEN 30,0.0,3.0,Cam Little 48 yard field goal good,1.43,3.0,17.0,2024,251
1.0,10:46,,,JAX 35,0.0,3.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,251
