Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Bo Nix,DEN,24,31,219,10,30.3,224,7.2,116,4.8,3.7,103,4.3,0,0.0%,6,19.4%,2,1,2,2,6,15.4%,6,4.8,17.0,2024,245
Joe Burrow,CIN,39,49,412,23,41.1,340,6.9,278,7.1,5.7,134,3.4,4,8.2%,5,10.2%,7,19,0,5,12,20.7%,2,12.5,17.0,2024,245
