Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Panthers,-34.0,-1.67,-0.36,-0.99,0.0,-35.23,-29.41,-6.27,0.0,2.32,-1.16,8.13,-1.84,-1.23,-1.58,17.0,2024,248
Buccaneers,34.0,35.23,29.41,6.27,0.0,1.67,0.36,0.99,0.0,-2.32,-8.13,1.16,1.23,1.84,1.58,17.0,2024,248
