Unnamed: 0,LAC,NWE,week,year,game_id
First Downs,29,11,17.0,2024,244
Rush-Yds-TDs,37-147-1,20-96-0,17.0,2024,244
Cmp-Att-Yd-TD-INT,26-40-281-3-0,13-24-115-1-0,17.0,2024,244
Sacked-Yards,0-0,4-30,17.0,2024,244
Net Pass Yards,281,85,17.0,2024,244
Total Yards,428,181,17.0,2024,244
Fumbles-Lost,0-0,1-1,17.0,2024,244
Turnovers,0,1,17.0,2024,244
Penalties-Yards,6-54,7-60,17.0,2024,244
Third Down Conv.,10-17,2-10,17.0,2024,244
Fourth Down Conv.,2-2,0-3,17.0,2024,244
Time of Possession,40:34,19:26,17.0,2024,244
