Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Tyler Huntley,MIA,22,26,225,12,40.0,150,5.8,123,5.6,4.7,102,4.6,1,4.2%,1,4.2%,4,2,0,4,8,22.9%,5,10.6,17.0,2024,253
Dorian Thompson-Robinson,CLE,24,47,170,7,14.6,277,5.9,100,4.2,2.1,70,2.9,7,15.9%,7,15.9%,1,9,0,4,5,10.2%,1,2.0,17.0,2024,253
