Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Breece Hall,NYJ,10,45,0,4.0,19,1.9,26,2.6,0,,17.0,2024,247
Braelon Allen,NYJ,6,26,0,2.0,14,2.3,12,2.0,0,,17.0,2024,247
Isaiah Davis,NYJ,3,35,0,3.0,15,5.0,20,6.7,1,3.0,17.0,2024,247
Tyrod Taylor,NYJ,2,6,0,0.0,3,1.5,3,1.5,1,2.0,17.0,2024,247
James Cook,BUF,15,53,1,3.0,16,1.1,37,2.5,1,15.0,17.0,2024,247
Ray Davis,BUF,6,9,0,,-1,-0.2,10,1.7,0,,17.0,2024,247
Josh Allen,BUF,5,17,1,3.0,12,2.4,5,1.0,0,,17.0,2024,247
Ty Johnson,BUF,4,16,0,1.0,2,0.5,14,3.5,1,4.0,17.0,2024,247
Reggie Gilliam,BUF,2,3,0,,-1,-0.5,4,2.0,1,2.0,17.0,2024,247
Mitchell Trubisky,BUF,2,-1,0,0.0,-1,-0.5,0,0.0,0,,17.0,2024,247
