Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,,17.0,2024,246
1.0,15:00,,,ARI 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,246
1.0,15:00,1.0,10.0,LAR 30,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 16 yards (tackle by Sean Murphy-Bunting and Zaven Collins),0.94,1.99,17.0,2024,246
1.0,14:28,1.0,10.0,LAR 46,0.0,0.0,Kyren Williams left tackle for 2 yards (tackle by Garrett Williams and Mack Wilson),1.99,1.72,17.0,2024,246
1.0,13:52,2.0,8.0,LAR 48,0.0,0.0,Kyren Williams right tackle for 4 yards (tackle by Garrett Williams and Mack Wilson),1.72,1.55,17.0,2024,246
1.0,13:27,3.0,4.0,ARI 48,0.0,0.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Garrett Williams),1.55,0.07,17.0,2024,246
1.0,13:22,4.0,4.0,ARI 48,0.0,0.0,Ethan Evans punts 45 yards downed by Xavier Smith,0.07,0.38,17.0,2024,246
1.0,13:14,1.0,10.0,ARI 3,0.0,0.0,James Conner left guard for no gain (tackle by Byron Young),-0.38,-0.78,17.0,2024,246
1.0,12:37,2.0,10.0,ARI 3,0.0,0.0,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Omar Speights and Quentin Lake),-0.78,-0.6,17.0,2024,246
1.0,11:47,3.0,3.0,ARI 10,0.0,0.0,Kyler Murray pass complete short right to Michael Wilson for 3 yards,-0.6,-0.32,17.0,2024,246
1.0,11:36,1.0,10.0,ARI 13,0.0,0.0,James Conner left end for 2 yards (tackle by Christian Rozeboom and Byron Young),-0.32,-0.57,17.0,2024,246
1.0,10:47,2.0,8.0,ARI 15,0.0,0.0,Kyler Murray scrambles right end for 3 yards (tackle by Christian Rozeboom),-0.57,-0.83,17.0,2024,246
1.0,10:11,3.0,5.0,ARI 18,0.0,0.0,Kyler Murray pass complete short middle to Greg Dortch for 4 yards (tackle by Quentin Lake and Michael Hoecht),-0.83,-1.9,17.0,2024,246
