Unnamed: 0,GNB,MIN,week,year,game_id
First Downs,17,26,17.0,2024,254
Rush-Yds-TDs,24-104-2,26-69-0,17.0,2024,254
Cmp-Att-Yd-TD-INT,19-30-185-1-0,33-43-377-3-1,17.0,2024,254
Sacked-Yards,3-18,1-5,17.0,2024,254
Net Pass Yards,167,372,17.0,2024,254
Total Yards,271,441,17.0,2024,254
Fumbles-Lost,2-1,1-0,17.0,2024,254
Turnovers,1,1,17.0,2024,254
Penalties-Yards,7-51,7-47,17.0,2024,254
Third Down Conv.,8-14,6-12,17.0,2024,254
Fourth Down Conv.,0-1,0-0,17.0,2024,254
Time of Possession,24:30,35:30,17.0,2024,254
