Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,17.0,2024,250
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,250
1.0,15:00,1.0,10.0,DAL 30,0.0,0.0,Rico Dowdle left end for 1 yard (tackle by Josh Sweat),0.94,0.53,17.0,2024,250
1.0,14:22,2.0,9.0,DAL 31,0.0,0.0,Cooper Rush pass complete short right to Brandin Cooks for 16 yards (tackle by Darius Slay),0.53,2.06,17.0,2024,250
1.0,13:45,1.0,10.0,DAL 47,0.0,0.0,Rico Dowdle left guard for 9 yards (tackle by Oren Burks and Zack Baun),2.06,2.73,17.0,2024,250
1.0,13:13,2.0,1.0,PHI 44,0.0,0.0,Rico Dowdle left guard for 2 yards (tackle by Milton Williams),2.73,2.79,17.0,2024,250
1.0,12:39,1.0,10.0,PHI 42,0.0,0.0,Cooper Rush pass complete short right to Jalen Tolbert for 7 yards (tackle by Cooper DeJean),2.79,3.19,17.0,2024,250
1.0,12:00,2.0,3.0,PHI 35,0.0,0.0,Cooper Rush pass incomplete deep left intended for Brandin Cooks (defended by Quinyon Mitchell),3.19,2.48,17.0,2024,250
1.0,11:55,3.0,3.0,PHI 35,0.0,6.0,"Cooper Rush pass short middle intended for Brandin Cooks is intercepted by C.J. Gardner-Johnson at PHI-31 and returned for 69 yards, touchdown",2.48,-7.0,17.0,2024,250
1.0,11:43,,,DAL 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,17.0,2024,250
1.0,11:43,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,250
1.0,11:43,1.0,10.0,DAL 30,0.0,7.0,Rico Dowdle right guard for 3 yards (tackle by Oren Burks and Cooper DeJean),0.94,0.8,17.0,2024,250
1.0,11:11,2.0,7.0,DAL 33,0.0,7.0,KaVontae Turpin left tackle for 6 yards (tackle by Oren Burks and Zack Baun),0.8,0.89,17.0,2024,250
1.0,10:50,3.0,1.0,DAL 39,0.0,7.0,Cooper Rush up the middle for 2 yards (tackle by Jalyx Hunt),0.89,1.66,17.0,2024,250
1.0,10:15,1.0,10.0,DAL 41,0.0,7.0,Cooper Rush pass incomplete deep left intended for Brandin Cooks,1.66,1.12,17.0,2024,250
1.0,10:09,2.0,10.0,DAL 41,0.0,7.0,Cooper Rush pass complete short left to Jalen Brooks for 12 yards (tackle by Quinyon Mitchell),1.12,2.46,17.0,2024,250
1.0,9:33,1.0,10.0,PHI 47,0.0,7.0,KaVontae Turpin left tackle for 12 yards (tackle by Quinyon Mitchell),2.46,3.25,17.0,2024,250
