Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1.0,Green Bay Packers,17.0,173,1099,38.7,9.8,6.4,32.9,Own 27.7,2:59,1.99
2.0,San Francisco 49ers,17.0,174,1071,33.9,15.5,6.2,29.6,Own 26.2,2:49,1.71
3.0,Philadelphia Eagles,17.0,175,1131,41.1,9.7,6.5,34.6,Own 29.1,2:53,2.35
4.0,Arizona Cardinals,17.0,175,1091,44.0,8.6,6.2,34.5,Own 31.6,2:59,2.49
5.0,Tennessee Titans,17.0,176,1143,43.2,6.8,6.5,32.3,Own 27.9,3:02,1.98
6.0,Dallas Cowboys,17.0,178,1040,32.0,14.6,5.8,28.5,Own 27.3,2:42,1.75
7.0,Kansas City Chiefs,17.0,179,1071,28.5,9.5,6.0,27.4,Own 28.7,2:48,1.5
8.0,Buffalo Bills,17.0,181,1044,32.0,16.0,5.8,28.8,Own 27.1,2:40,1.67
9.0,Seattle Seahawks,17.0,183,1182,40.4,10.4,6.5,34.4,Own 27.3,3:06,2.2
10.0,Tampa Bay Buccaneers,17.0,183,1114,34.4,14.2,6.1,32.0,Own 27.1,2:50,1.78
11.0,Carolina Panthers,17.0,183,1042,37.7,5.5,5.7,27.3,Own 31.6,2:41,2.09
12.0,Denver Broncos,17.0,184,1111,40.2,13.0,6.0,34.0,Own 28.4,2:48,2.16
13.0,Chicago Bears,17.0,184,1068,34.2,14.7,5.8,29.8,Own 29.9,2:35,1.88
14.0,Detroit Lions,17.0,185,1067,37.3,12.4,5.8,30.8,Own 27.1,2:39,2.05
15.0,Los Angeles Rams,17.0,185,1116,36.8,8.1,6.0,30.8,Own 29.6,2:43,1.92
16.0,Las Vegas Raiders,17.0,185,1119,33.0,11.4,6.0,30.4,Own 26.2,2:53,1.77
17.0,Minnesota Vikings,17.0,186,1131,37.1,11.3,6.1,30.5,Own 30.1,2:51,1.91
18.0,Miami Dolphins,17.0,187,1078,32.1,13.9,5.8,28.9,Own 28.6,2:43,1.86
19.0,Cincinnati Bengals,17.0,187,1090,38.5,13.4,5.8,34.0,Own 28.3,2:43,2.01
20.0,Washington Commanders,17.0,188,1153,46.8,9.0,6.1,35.0,Own 31.1,2:46,2.53
21.0,Los Angeles Chargers,17.0,189,1140,36.0,10.1,6.0,32.6,Own 29.4,2:49,2.01
22.0,Pittsburgh Steelers,17.0,190,1111,33.7,14.2,5.8,30.5,Own 29.2,2:43,1.68
23.0,Houston Texans,17.0,190,1115,34.7,11.1,5.9,29.6,Own 28.5,2:45,1.8
24.0,Atlanta Falcons,17.0,195,1131,37.9,8.2,5.8,28.0,Own 29.9,2:41,1.86
25.0,Jacksonville Jaguars,17.0,195,1104,32.3,12.8,5.7,29.8,Own 28.5,2:35,1.83
26.0,Baltimore Ravens,17.0,195,1144,28.7,14.4,5.9,26.2,Own 27.7,2:34,1.35
27.0,New Orleans Saints,17.0,196,1089,31.6,14.3,5.6,28.3,Own 26.9,2:30,1.6
28.0,New York Giants,17.0,199,1123,35.2,14.1,5.6,30.9,Own 29.1,2:37,1.96
29.0,New England Patriots,17.0,203,1129,31.5,7.9,5.6,25.2,Own 31.7,2:41,1.6
30.0,Indianapolis Colts,17.0,203,1178,38.9,11.8,5.8,29.1,Own 29.5,2:39,2.01
31.0,New York Jets,17.0,211,1123,31.8,11.8,5.3,23.4,Own 29.8,2:30,1.58
32.0,Cleveland Browns,17.0,222,1028,24.8,11.7,4.6,20.7,Own 29.9,2:07,1.43
,League Total,,6019,35376,35.5,11.6,5.9,29.9,Own 28.8,2:43,1.88
