Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Player_URL
Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,
Atlanta Falcons,17,364,559,4068,4468,8.0,2325,6.4,4.2,1958,5.4,
Buffalo Bills,17,329,520,3875,4078,7.8,1752,5.3,3.4,2186,6.6,
Carolina Panthers,17,341,547,3188,4410,8.1,1980,5.8,3.6,1431,4.2,
Chicago Bears,17,353,566,3086,4491,7.9,1676,4.7,3.0,1876,5.3,
Cincinnati Bengals,17,460,652,4640,4603,7.1,2726,5.9,4.2,2192,4.8,
Cleveland Browns,17,395,661,3506,5091,7.7,2178,5.5,3.3,1701,4.3,
Indianapolis Colts,17,289,513,3361,5387,10.5,2142,7.4,4.2,1457,5.0,
Arizona Cardinals,17,374,543,3639,3673,6.8,1887,5.0,3.5,1972,5.3,
Dallas Cowboys,17,398,637,3862,4607,7.2,2062,5.2,3.2,2030,5.1,
Denver Broncos,17,379,570,3610,4130,7.2,1717,4.5,3.0,2091,5.5,
Detroit Lions,17,399,551,4474,3471,6.3,2049,5.1,3.7,2669,6.7,
Green Bay Packers,17,308,479,3807,4099,8.6,2011,6.5,4.2,1928,6.3,
Houston Texans,17,357,570,3526,4606,8.1,2199,6.2,3.9,1753,4.9,
Jacksonville Jaguars,17,343,546,3477,4510,8.3,1975,5.8,3.6,1742,5.1,
Kansas City Chiefs,17,404,600,3780,3726,6.2,1678,4.2,2.8,2368,5.9,
Miami Dolphins,17,413,591,3737,3722,6.3,1826,4.4,3.1,2210,5.4,
Minnesota Vikings,17,364,548,4043,4580,8.4,2585,7.1,4.7,1794,4.9,
New Orleans Saints,17,340,551,3488,4416,8.0,1894,5.6,3.4,1836,5.4,
New England Patriots,17,342,529,2995,3736,7.1,1642,4.8,3.1,1701,5.0,
New York Giants,17,366,591,3228,3993,6.8,1784,4.9,3.0,1737,4.7,
New York Jets,17,385,607,3714,4101,6.8,1829,4.8,3.0,2187,5.7,
Tennessee Titans,17,336,530,3317,4190,7.9,2024,6.0,3.8,1597,4.8,
Philadelphia Eagles,17,303,448,3194,3463,7.7,1947,6.4,4.3,1570,5.2,
Pittsburgh Steelers,17,321,499,3264,3901,7.8,1959,6.1,3.9,1648,5.1,
Las Vegas Raiders,17,410,635,3797,4434,7.0,2056,5.0,3.2,2061,5.0,
Los Angeles Rams,17,367,559,3868,3951,7.1,2138,5.8,3.8,1958,5.3,
Baltimore Ravens,17,318,477,4035,4109,8.6,2102,6.6,4.4,2087,6.6,
Los Angeles Chargers,17,336,510,3629,4354,8.5,2197,6.5,4.3,1704,5.1,
Seattle Seahawks,17,413,593,4020,4060,6.8,2191,5.3,3.7,2188,5.3,
San Francisco 49ers,17,349,533,4234,4427,8.3,2563,7.3,4.8,1861,5.3,
Tampa Bay Buccaneers,17,408,571,4257,3963,6.9,2058,5.0,3.6,2447,6.0,
Washington Commanders,17,365,525,3665,3970,7.6,2045,5.6,3.9,1887,5.2,
