Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Mo Alie-Cox,29.0,TE,17,11.0,267.0,77,Virginia Commonwealth,9/19/1993,4,1.0,Indianapolis Colts,,,,
Darrell Baker,24.0,CB,3,0.0,190.0,73,Georgia Southern,3/27/1998,0,0.0,Indianapolis Colts,,,,
Ben Banogu,26.0,LB,16,0.0,252.0,75,TCU,1/19/1996,3,1.0,Indianapolis Colts,Indianapolis Colts,2.0,49.0,2019.0
Julian Blackmon,24.0,FS,14,11.0,187.0,72,Utah,8/24/1998,2,4.0,Indianapolis Colts,Indianapolis Colts,3.0,85.0,2020.0
Rodrigo Blankenship,25.0,K,1,0.0,184.0,73,Georgia,1/29/1997,2,0.0,Indianapolis Colts,,,,
Tony Brown,27.0,DB,16,0.0,200.0,72,Alabama,7/13/1995,4,1.0,Indianapolis Colts,,,,
DeForest Buckner,28.0,DT,17,16.0,295.0,79,Oregon,3/17/1994,6,8.0,Indianapolis Colts,San Francisco 49ers,1.0,7.0,2016.0
Parris Campbell,25.0,WR,17,16.0,208.0,72,Ohio St.,7/16/1997,3,5.0,Indianapolis Colts,Indianapolis Colts,2.0,59.0,2019.0
Kameron Cline,24.0,DE,3,0.0,283.0,76,South Dakota,2/19/1998,2,0.0,Indianapolis Colts,,,,
Keke Coutee,25.0,WR,8,0.0,180.0,71,Texas Tech,1/14/1997,4,0.0,Indianapolis Colts,Houston Texans,4.0,103.0,2018.0
Byron Cowart,26.0,DT,17,0.0,300.0,75,Maryland,5/20/1996,3,1.0,Indianapolis Colts,New England Patriots,5.0,159.0,2019.0
Nick Cross,21.0,S,16,2.0,212.0,72,Maryland,9/10/2001,0,2.0,Indianapolis Colts,Indianapolis Colts,3.0,96.0,2022.0
Trevor Denbow,24.0,S,2,0.0,208.0,70,"Navarro,SMU",8/26/1998,0,0.0,Indianapolis Colts,,,,
JoJo Domann,25.0,LB,16,0.0,230.0,73,Nebraska,7/28/1997,0,1.0,Indianapolis Colts,,,,
Ashton Dulin,25.0,WR,12,2.0,215.0,74,Malone,5/15/1997,3,1.0,Indianapolis Colts,,,,
Sam Ehlinger,24.0,QB,4,3.0,222.0,73,Texas,9/30/1998,1,2.0,Indianapolis Colts,Indianapolis Colts,6.0,218.0,2021.0
Brandon Facyson,28.0,CB,16,4.0,197.0,74,Virginia Tech,9/8/1994,4,2.0,Indianapolis Colts,,,,
Ethan Fernea,24.0,WR,1,0.0,195.0,72,UCLA,3/2/1998,0,0.0,Indianapolis Colts,,,,
Dallis Flowers,25.0,CB,13,1.0,196.0,73,"Grand View,Pittsburg St.",6/4/1997,0,1.0,Indianapolis Colts,,,,
Nick Foles,33.0,QB,3,2.0,262.0,78,Arizona,1/20/1989,10,1.0,Indianapolis Colts,Philadelphia Eagles,3.0,88.0,2012.0
Zaire Franklin,26.0,RLB/MLB,17,17.0,235.0,72,Syracuse,7/2/1996,4,8.0,Indianapolis Colts,Indianapolis Colts,7.0,235.0,2018.0
Will Fries,24.0,RG,16,9.0,305.0,78,Penn St.,4/4/1998,1,3.0,Indianapolis Colts,Indianapolis Colts,7.0,248.0,2021.0
Jake Funk,24.0,RB,1,0.0,205.0,70,Maryland,1/11/1998,1,0.0,Indianapolis Colts,Los Angeles Rams,7.0,233.0,2021.0
Stephon Gilmore,32.0,RCB,16,16.0,190.0,72,South Carolina,9/19/1990,10,5.0,Indianapolis Colts,Buffalo Bills,1.0,10.0,2012.0
Kylen Granson,24.0,TE,13,4.0,242.0,75,"Rice,SMU",3/27/1998,1,2.0,Indianapolis Colts,Indianapolis Colts,4.0,127.0,2021.0
Matt Haack,28.0,P,17,0.0,205.0,72,Arizona St.,7/25/1994,5,2.0,Indianapolis Colts,,,,
Nyheim Hines,26.0,RB,7,4.0,198.0,68,North Carolina St.,11/12/1996,4,1.0,Indianapolis Colts,Indianapolis Colts,4.0,104.0,2018.0
Deon Jackson,23.0,RB,16,2.0,218.0,72,Duke,2/18/1999,1,3.0,Indianapolis Colts,,,,
Eric Johnson,24.0,DT,14,0.0,320.0,76,Missouri State,7/16/1998,0,1.0,Indianapolis Colts,Indianapolis Colts,5.0,159.0,2022.0
Nikola Kalinic,25.0,TE,7,2.0,248.0,76,York,1/21/1997,1,0.0,Indianapolis Colts,,,,
Khalid Kareem,24.0,DE,4,0.0,255.0,76,Notre Dame,4/28/1998,2,0.0,Indianapolis Colts,Cincinnati Bengals,5.0,147.0,2020.0
Dennis Kelly,32.0,T,16,3.0,321.0,80,Purdue,1/16/1990,10,2.0,Indianapolis Colts,Philadelphia Eagles,5.0,153.0,2012.0
Ryan Kelly,29.0,C,17,17.0,307.0,76,Alabama,5/30/1993,6,5.0,Indianapolis Colts,Indianapolis Colts,1.0,18.0,2016.0
Shaquille Leonard,27.0,LB,3,1.0,230.0,74,South Carolina St.,7/27/1995,4,1.0,Indianapolis Colts,Indianapolis Colts,2.0,36.0,2018.0
Tyquan Lewis,27.0,DE,7,4.0,267.0,75,Ohio St.,1/30/1995,4,2.0,Indianapolis Colts,Indianapolis Colts,2.0,64.0,2018.0
Phillip Lindsay,28.0,RB,3,0.0,190.0,68,Colorado,7/24/1994,4,0.0,Indianapolis Colts,,,,
Cameron McGrone,22.0,LB,1,0.0,236.0,73,Michigan,6/22/2000,1,0.0,Indianapolis Colts,New England Patriots,5.0,177.0,2021.0
Chase McLaughlin,26.0,K,16,0.0,190.0,72,Illinois,4/9/1996,3,3.0,Indianapolis Colts,,,,
Rodney McLeod,32.0,SS,17,15.0,185.0,70,Virginia,6/23/1990,10,5.0,Indianapolis Colts,,,,
Kenny Moore,27.0,LCB,12,12.0,190.0,69,Valdosta St.,8/23/1995,5,4.0,Indianapolis Colts,,,,
Zack Moss,25.0,RB,8,3.0,215.0,70,Utah,12/15/1997,2,2.0,Indianapolis Colts,Buffalo Bills,3.0,86.0,2020.0
Quenton Nelson,26.0,LG,17,17.0,330.0,77,Notre Dame,3/19/1996,4,7.0,Indianapolis Colts,Indianapolis Colts,1.0,6.0,2018.0
Yannick Ngakoue,27.0,LDE,15,15.0,246.0,74,Maryland,3/31/1995,6,7.0,Indianapolis Colts,Jacksonville Jaguars,3.0,69.0,2016.0
Ifeadi Odenigbo,28.0,DE,13,0.0,258.0,75,Northwestern,4/8/1994,4,1.0,Indianapolis Colts,Minnesota Vikings,7.0,220.0,2017.0
