Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Tony Adams,23.0,S,11,1.0,203.0,71,Illinois,1/24/1999,0,1.0,New York Jets,,,,
Kwon Alexander,28.0,ROLB,17,12.0,227.0,73,LSU,8/3/1994,7,6.0,New York Jets,Tampa Bay Buccaneers,4.0,124.0,2015.0
Braxton Berrios,27.0,WR,17,2.0,185.0,69,Miami (FL),10/6/1995,3,1.0,New York Jets,New England Patriots,6.0,210.0,2018.0
Duane Brown,37.0,LT,12,12.0,329.0,76,Virginia Tech,8/30/1985,14,5.0,New York Jets,Houston Texans,1.0,26.0,2008.0
Lawrence Cager,25.0,WR,1,1.0,220.0,77,Georgia,8/20/1997,2,0.0,New York Jets,,,,
Michael Carter II,23.0,DB,17,6.0,184.0,70,Duke,3/8/1999,1,3.0,New York Jets,New York Jets,5.0,154.0,2021.0
Michael Carter,23.0,RB,16,10.0,201.0,68,North Carolina,5/7/1999,1,4.0,New York Jets,New York Jets,4.0,107.0,2021.0
Micheal Clemons,25.0,DE,16,0.0,263.0,77,"Cisco (TX),Texas A&M",8/21/1997,0,1.0,New York Jets,New York Jets,4.0,117.0,2022.0
Tyler Conklin,27.0,TE,17,16.0,248.0,75,Central Michigan,7/30/1995,4,4.0,New York Jets,Minnesota Vikings,5.0,157.0,2018.0
Vinny Curry,34.0,DE,11,0.0,279.0,75,Marshall,6/30/1988,10,1.0,New York Jets,Philadelphia Eagles,2.0,59.0,2012.0
Ashtyn Davis,26.0,S,14,0.0,205.0,73,California,10/10/1996,2,1.0,New York Jets,New York Jets,3.0,68.0,2020.0
Corey Davis,27.0,WR,13,10.0,209.0,75,Western Michigan,1/11/1995,5,4.0,New York Jets,Tennessee Titans,1.0,5.0,2017.0
Laurent Duvernay-Tardif,31.0,G,5,1.0,321.0,77,McGill,2/11/1991,7,1.0,New York Jets,Kansas City Chiefs,6.0,200.0,2014.0
Brandin Echols,25.0,CB,13,0.0,179.0,70,"Northwest Mississippi CC,Kentucky",10/16/1997,1,1.0,New York Jets,New York Jets,6.0,200.0,2021.0
George Fant,30.0,RT,8,7.0,316.0,77,Western Kentucky,7/19/1992,6,3.0,New York Jets,,,,
Dan Feeney,28.0,G,17,2.0,310.0,76,Indiana,5/29/1994,5,2.0,New York Jets,Los Angeles Chargers,3.0,71.0,2017.0
Joe Flacco,37.0,QB,5,4.0,245.0,78,"Pittsburgh,Delaware",1/16/1985,14,1.0,New York Jets,Baltimore Ravens,1.0,18.0,2008.0
John Franklin-Myers,26.0,LDE,17,17.0,288.0,76,S.F. Austin,9/26/1996,4,8.0,New York Jets,Los Angeles Rams,4.0,135.0,2018.0
Sauce Gardner,22.0,RCB,17,17.0,190.0,75,Cincinnati,8/31/2000,0,14.0,New York Jets,New York Jets,1.0,4.0,2022.0
Breece Hall,21.0,RB,7,2.0,217.0,71,Iowa St.,5/31/2001,0,4.0,New York Jets,New York Jets,2.0,36.0,2022.0
Bryce Hall,25.0,CB,5,0.0,202.0,73,Virginia,11/5/1997,2,0.0,New York Jets,New York Jets,5.0,158.0,2020.0
Justin Hardee,28.0,WR,17,0.0,200.0,73,Illinois,2/7/1994,5,4.0,New York Jets,,,,
Marcell Harris,28.0,LB,11,0.0,215.0,72,Florida,6/9/1994,4,1.0,New York Jets,San Francisco 49ers,6.0,184.0,2018.0
Thomas Hennessy,28.0,LS,17,0.0,246.0,74,Duke,6/11/1994,5,1.0,New York Jets,,,,
Nate Herbig,24.0,RG,11,11.0,334.0,76,Stanford,7/10/1998,3,4.0,New York Jets,,,,
Grant Hermanns,24.0,G,2,0.0,305.0,79,Purdue,3/5/1998,1,0.0,New York Jets,,,,
Bryce Huff,24.0,DE,14,0.0,255.0,75,Memphis,4/17/1998,2,1.0,New York Jets,,,,
Jermaine Johnson II,23.0,DE,14,0.0,254.0,77,"Independence (KS),Georgia,Florida St.",1/7/1999,0,1.0,New York Jets,New York Jets,1.0,26.0,2022.0
Ty Johnson,25.0,RB,17,1.0,210.0,70,Maryland,9/17/1997,3,1.0,New York Jets,Detroit Lions,6.0,186.0,2019.0
Lamarcus Joyner,32.0,SS,14,14.0,185.0,68,Florida St.,11/27/1990,8,5.0,New York Jets,St. Louis Rams,2.0,41.0,2014.0
Zonovan Knight,21.0,RB,7,4.0,210.0,71,North Carolina St.,4/11/2001,0,2.0,New York Jets,,,,
Carl Lawson,27.0,LOLB,17,17.0,260.0,74,Auburn,6/29/1995,5,8.0,New York Jets,Cincinnati Bengals,4.0,116.0,2017.0
Braden Mann,25.0,P,17,0.0,198.0,71,Texas A&M,11/24/1997,2,3.0,New York Jets,New York Jets,6.0,191.0,2020.0
Jacob Martin,27.0,DE,8,0.0,242.0,74,Temple,12/11/1995,4,1.0,New York Jets,Seattle Seahawks,6.0,186.0,2018.0
Conor McDermott,30.0,T,7,0.0,305.0,80,UCLA,10/19/1992,5,0.0,New York Jets,New England Patriots,6.0,211.0,2017.0
Connor McGovern,29.0,C,17,17.0,306.0,76,Missouri,4/27/1993,5,6.0,New York Jets,Denver Broncos,5.0,144.0,2016.0
Denzel Mims,25.0,WR,10,4.0,207.0,75,Baylor,10/10/1997,2,1.0,New York Jets,New York Jets,2.0,59.0,2020.0
Max Mitchell,23.0,RT,6,5.0,307.0,78,Louisiana,10/12/1999,0,2.0,New York Jets,New York Jets,4.0,111.0,2022.0
Elijah Moore,22.0,WR,16,9.0,178.0,70,Mississippi,3/27/2000,1,3.0,New York Jets,New York Jets,2.0,34.0,2021.0
C.J. Mosley,30.0,RILB,17,17.0,231.0,74,Alabama,6/19/1992,8,13.0,New York Jets,Baltimore Ravens,1.0,17.0,2014.0
Hamsah Nasirildeen,23.0,LB,7,0.0,215.0,75,Florida St.,1/17/1999,1,1.0,New York Jets,New York Jets,6.0,186.0,2021.0
Cedric Ogbuehi,30.0,RT,7,5.0,310.0,77,Texas A&M,4/25/1992,7,2.0,New York Jets,Cincinnati Bengals,1.0,21.0,2015.0
Will Parks,28.0,S,14,3.0,194.0,73,Arizona,7/29/1994,6,1.0,New York Jets,Denver Broncos,6.0,219.0,2016.0
Sheldon Rankins,28.0,NT,15,15.0,305.0,74,Louisville,4/2/1994,6,7.0,New York Jets,New Orleans Saints,1.0,12.0,2016.0
D.J. Reed,26.0,LCB,17,17.0,190.0,69,Kansas St.,11/11/1996,4,5.0,New York Jets,San Francisco 49ers,5.0,142.0,2018.0
Mike Remmers,33.0,T,8,1.0,301.0,77,Oregon St.,4/11/1989,9,1.0,New York Jets,,,,
James Robinson,24.0,RB,4,0.0,219.0,69,"Butler (KS),Illinois St.",8/9/1998,2,0.0,New York Jets,,,,
Jeremy Ruckert,22.0,TE,9,0.0,250.0,77,Ohio St.,8/11/2000,0,0.0,New York Jets,New York Jets,3.0,101.0,2022.0
Nathan Shepherd,29.0,DT,17,3.0,315.0,76,Fort Hays St.,10/9/1993,4,2.0,New York Jets,New York Jets,3.0,72.0,2018.0
Jamien Sherwood,22.0,LB,17,0.0,216.0,74,Auburn,1/12/2000,1,1.0,New York Jets,New York Jets,5.0,146.0,2021.0
Tanzel Smart,28.0,DT,3,0.0,295.0,73,Tulane,11/6/1994,5,0.0,New York Jets,Los Angeles Rams,6.0,189.0,2017.0
Jeff Smith,25.0,WR,11,0.0,195.0,73,Boston Col.,4/21/1997,3,1.0,New York Jets,,,,
Chris Streveler,27.0,QB,2,1.0,216.0,73,"Minnesota,South Dakota",1/6/1995,2,0.0,New York Jets,,,,
Chazz Surratt,25.0,LB,1,0.0,233.0,74,North Carolina,2/16/1997,1,0.0,New York Jets,Minnesota Vikings,3.0,78.0,2021.0
Solomon Thomas,27.0,DE,17,0.0,256.0,74,Stanford,12/20/1995,5,1.0,New York Jets,San Francisco 49ers,1.0,3.0,2017.0
Laken Tomlinson,30.0,LG,17,17.0,323.0,75,Duke,2/9/1992,7,6.0,New York Jets,Detroit Lions,1.0,28.0,2015.0
C.J. Uzomah,29.0,TE,15,13.0,262.0,78,Auburn,1/14/1993,7,2.0,New York Jets,Cincinnati Bengals,5.0,157.0,2015.0
Alijah Vera-Tucker,23.0,T-G,7,7.0,308.0,77,USC,6/17/1999,1,2.0,New York Jets,New York Jets,1.0,14.0,2021.0
Mike White,27.0,QB,4,4.0,220.0,77,"South Florida,Western Kentucky",3/25/1995,1,3.0,New York Jets,Dallas Cowboys,5.0,171.0,2018.0
Jordan Whitehead,25.0,FS,17,17.0,198.0,70,Pittsburgh,3/18/1997,4,6.0,New York Jets,Tampa Bay Buccaneers,4.0,117.0,2018.0
Quincy Williams,26.0,LILB,15,15.0,230.0,71,Murray St.,8/28/1996,3,7.0,New York Jets,Jacksonville Jaguars,3.0,98.0,2019.0
Quinnen Williams,25.0,RDE,16,16.0,303.0,75,Alabama,12/21/1997,3,17.0,New York Jets,New York Jets,1.0,3.0,2019.0
Garrett Wilson,22.0,WR,17,12.0,183.0,72,Ohio St.,7/22/2000,0,8.0,New York Jets,New York Jets,1.0,10.0,2022.0
Zach Wilson,23.0,QB,9,9.0,214.0,74,BYU,8/3/1999,1,4.0,New York Jets,New York Jets,1.0,2.0,2021.0
Kenny Yeboah,24.0,TE,10,0.0,250.0,76,"Temple,Mississippi",10/30/1998,1,0.0,New York Jets,,,,
Greg Zuerlein,35.0,K,17,0.0,195.0,72,"Nebraska-Omaha,Missouri Western St.",12/27/1987,10,3.0,New York Jets,St. Louis Rams,6.0,171.0,2012.0
