Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Jonathan Allen,27.0,RDT,16,16.0,300.0,75,Alabama,1/16/1995,5,12.0,Washington Commanders,Washington Redskins,1.0,17.0,2017.0
Troy Apke,27.0,CB,2,0.0,205.0,73,Penn St.,4/11/1995,4,0.0,Washington Commanders,Washington Redskins,4.0,109.0,2018.0
Alex Armah,28.0,FB,2,0.0,255.0,73,West Georgia,5/17/1994,5,0.0,Washington Commanders,Carolina Panthers,6.0,192.0,2017.0
David Bada,27.0,DE,2,0.0,287.0,77,,5/24/1995,0,0.0,Washington Commanders,,,,
John Bates,25.0,TE,16,7.0,259.0,78,Boise St.,11/6/1997,1,1.0,Washington Commanders,Washington Football Team,4.0,124.0,2021.0
Reggie Bonnafon,26.0,LB,1,0.0,215.0,72,Louisville,1/4/1996,3,0.0,Washington Commanders,,,,
Jonathan Bostic,31.0,MLB,15,5.0,245.0,73,Florida,5/5/1991,9,3.0,Washington Commanders,Chicago Bears,2.0,50.0,2013.0
William Bradley-King,25.0,DE,1,0.0,265.0,76,Baylor,12/22/1997,1,0.0,Washington Commanders,Washington Football Team,7.0,240.0,2021.0
Dyami Brown,23.0,WR,15,0.0,195.0,72,North Carolina,11/1/1999,1,1.0,Washington Commanders,Washington Football Team,3.0,82.0,2021.0
Percy Butler,22.0,S,15,0.0,191.0,72,Louisiana,5/29/2000,0,1.0,Washington Commanders,Washington Commanders,4.0,113.0,2022.0
Tariq Castro-Fields,23.0,CB,2,0.0,197.0,73,Penn St.,1/14/1999,0,0.0,Washington Commanders,San Francisco 49ers,6.0,221.0,2022.0
Saahdiq Charles,23.0,T,13,3.0,321.0,76,LSU,7/26/1999,2,2.0,Washington Commanders,Washington Football Team,4.0,108.0,2020.0
Camaron Cheeseman,24.0,LS,17,0.0,237.0,76,Michigan,4/26/1998,1,1.0,Washington Commanders,Washington Football Team,6.0,225.0,2021.0
Samuel Cosmi,23.0,RT,14,6.0,309.0,78,Texas,2/16/1999,1,3.0,Washington Commanders,Washington Football Team,2.0,51.0,2021.0
Kamren Curl,23.0,SS,12,12.0,205.0,74,Arkansas,3/31/1999,2,4.0,Washington Commanders,Washington Football Team,7.0,216.0,2020.0
Jamin Davis,24.0,LLB,16,15.0,234.0,76,Kentucky,12/12/1998,1,8.0,Washington Commanders,Washington Football Team,1.0,19.0,2021.0
Jahan Dotson,22.0,WR,12,10.0,184.0,71,Penn St.,3/22/2000,0,4.0,Washington Commanders,Washington Commanders,1.0,16.0,2022.0
Milo Eifler,24.0,LB,10,0.0,228.0,73,"Washington,Illinois",2/13/1998,1,1.0,Washington Commanders,,,,
Alex Erickson,30.0,WR,2,0.0,195.0,72,Wisconsin,11/6/1992,6,0.0,Washington Commanders,,,,
Darrick Forrest,23.0,DB,17,11.0,200.0,71,Cincinnati,5/22/1999,1,5.0,Washington Commanders,Washington Football Team,5.0,163.0,2021.0
Kendall Fuller,27.0,LCB/DB,17,17.0,198.0,71,Virginia Tech,2/13/1995,6,6.0,Washington Commanders,Washington Redskins,3.0,84.0,2016.0
Nathan Gerry,27.0,LB,4,0.0,230.0,74,Nebraska,2/23/1995,5,0.0,Washington Commanders,Philadelphia Eagles,5.0,184.0,2017.0
Antonio Gibson,24.0,RB,15,6.0,228.0,72,"East Central CC (MS),Memphis",6/23/1998,2,6.0,Washington Commanders,Washington Football Team,3.0,66.0,2020.0
De'Jon Harris,25.0,LB,5,0.0,245.0,72,Arkansas,11/1/1997,2,0.0,Washington Commanders,,,,
Taylor Heinicke,29.0,QB,9,9.0,210.0,73,Old Dominion,3/15/1993,5,6.0,Washington Commanders,,,,
Cole Holcomb,26.0,MLB,7,7.0,240.0,73,North Carolina,7/30/1996,3,3.0,Washington Commanders,Washington Redskins,5.0,173.0,2019.0
Christian Holmes,25.0,CB,17,2.0,205.0,73,"Missouri,Oklahoma St.",9/14/1997,0,2.0,Washington Commanders,Washington Commanders,7.0,240.0,2022.0
Sam Howell,22.0,QB,1,1.0,225.0,73,North Carolina,9/16/2000,0,1.0,Washington Commanders,Washington Commanders,5.0,144.0,2022.0
Khaleke Hudson,25.0,S,13,1.0,220.0,72,Michigan,12/6/1997,2,1.0,Washington Commanders,Washington Football Team,5.0,162.0,2020.0
William Jackson III,30.0,DB,4,4.0,189.0,72,"Houston,Trinity Valley CC (TX)",10/27/1992,5,1.0,Washington Commanders,Cincinnati Bengals,1.0,24.0,2016.0
Donovan Jeter,24.0,DT,1,0.0,325.0,75,Michigan,12/7/1998,0,0.0,Washington Commanders,,,,
Danny Johnson,27.0,CB,11,4.0,190.0,69,Southern,11/17/1995,4,2.0,Washington Commanders,,,,
