Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Mark Andrews,27.0,TE,15,15.0,250.0,77,Oklahoma,9/6/1995,4,8.0,Baltimore Ravens,Baltimore Ravens,3.0,86.0,2018.0
Jalyn Armour-Davis,23.0,CB,4,1.0,200.0,73,Alabama,9/3/1999,0,1.0,Baltimore Ravens,Baltimore Ravens,4.0,119.0,2022.0
Jeremiah Attaochu,29.0,LB,1,0.0,262.0,75,Georgia Tech,1/17/1993,8,0.0,Baltimore Ravens,San Diego Chargers,2.0,50.0,2014.0
Rashod Bateman,23.0,WR,6,5.0,193.0,73,Minnesota,11/29/1999,1,3.0,Baltimore Ravens,Baltimore Ravens,1.0,27.0,2021.0
Tyus Bowser,27.0,LB,9,4.0,250.0,75,Houston,5/23/1995,5,2.0,Baltimore Ravens,Baltimore Ravens,2.0,47.0,2017.0
Nick Boyle,29.0,TE,12,0.0,270.0,76,Delaware,2/17/1993,7,0.0,Baltimore Ravens,Baltimore Ravens,5.0,171.0,2015.0
Anthony Brown,24.0,QB,2,1.0,223.0,73,"Boston Col.,Oregon",7/27/1998,0,1.0,Baltimore Ravens,,,,
Josh Bynes,33.0,MLB,7,7.0,240.0,73,Auburn,8/24/1989,11,3.0,Baltimore Ravens,,,,
Calais Campbell,36.0,DE,14,14.0,315.0,80,Miami (FL),9/1/1986,14,7.0,Baltimore Ravens,Arizona Cardinals,2.0,50.0,2008.0
Chuck Clark,27.0,SS,17,17.0,210.0,72,Virginia Tech,4/19/1995,5,7.0,Baltimore Ravens,Baltimore Ravens,6.0,186.0,2017.0
Ben Cleveland,24.0,G,9,1.0,355.0,78,Georgia,8/25/1998,1,1.0,Baltimore Ravens,Baltimore Ravens,3.0,94.0,2021.0
Trystan Colon,24.0,C,6,1.0,317.0,75,Missouri,3/23/1998,2,1.0,Baltimore Ravens,,,,
Brandon Copeland,31.0,LB,3,0.0,263.0,75,Pennsylvania,7/2/1991,7,0.0,Baltimore Ravens,,,,
Mike Davis,29.0,RB,8,0.0,220.0,69,South Carolina,2/19/1993,7,0.0,Baltimore Ravens,San Francisco 49ers,4.0,126.0,2015.0
J.K. Dobbins,24.0,RB,8,8.0,212.0,70,Ohio St.,12/17/1998,2,4.0,Baltimore Ravens,Baltimore Ravens,2.0,55.0,2020.0
Kenyan Drake,28.0,RB,12,5.0,216.0,73,Alabama,1/26/1994,6,4.0,Baltimore Ravens,Miami Dolphins,3.0,73.0,2016.0
Devin Duvernay,25.0,WR,14,13.0,202.0,71,Texas,9/12/1997,2,6.0,Baltimore Ravens,Baltimore Ravens,3.0,92.0,2020.0
Gus Edwards,27.0,RB,9,4.0,238.0,73,"Miami (FL),Rutgers",4/13/1995,4,3.0,Baltimore Ravens,,,,
Daniel Faalele,23.0,T,16,1.0,370.0,78,Minnesota,11/9/1999,0,2.0,Baltimore Ravens,Baltimore Ravens,4.0,110.0,2022.0
Kyle Fuller,30.0,CB,1,1.0,190.0,71,Virginia Tech,2/16/1992,8,0.0,Baltimore Ravens,Chicago Bears,1.0,14.0,2014.0
Kyle Hamilton,21.0,S,16,4.0,218.0,76,Notre Dame,3/16/2001,0,2.0,Baltimore Ravens,Baltimore Ravens,1.0,14.0,2022.0
Malik Harrison,24.0,ROLB,17,8.0,247.0,75,Ohio St.,3/5/1998,2,4.0,Baltimore Ravens,Baltimore Ravens,3.0,98.0,2020.0
Justice Hill,25.0,RB,15,0.0,205.0,70,Oklahoma St.,11/14/1997,3,2.0,Baltimore Ravens,Baltimore Ravens,4.0,113.0,2019.0
Justin Houston,33.0,LB,14,1.0,270.0,75,Georgia,1/21/1989,11,2.0,Baltimore Ravens,Kansas City Chiefs,3.0,70.0,2011.0
Marlon Humphrey,26.0,RCB,17,17.0,210.0,72,Alabama,7/8/1996,5,12.0,Baltimore Ravens,Baltimore Ravens,1.0,16.0,2017.0
Tyler Huntley,24.0,QB,6,4.0,205.0,73,Utah,2/3/1998,2,3.0,Baltimore Ravens,,,,
Andy Isabella,26.0,WR,2,0.0,188.0,69,Massachusetts,11/18/1996,3,0.0,Baltimore Ravens,Arizona Cardinals,2.0,62.0,2019.0
DeSean Jackson,36.0,WR,7,1.0,175.0,70,California,12/1/1986,14,2.0,Baltimore Ravens,Philadelphia Eagles,2.0,49.0,2008.0
Lamar Jackson,25.0,QB,12,12.0,205.0,74,Louisville,1/7/1997,4,12.0,Baltimore Ravens,Baltimore Ravens,1.0,32.0,2018.0
Ja'Wuan James,30.0,T,1,1.0,312.0,78,Tennessee,6/3/1992,8,0.0,Baltimore Ravens,Miami Dolphins,1.0,19.0,2014.0
Travis Jones,23.0,DT,15,3.0,341.0,76,Connecticut,10/15/1999,0,2.0,Baltimore Ravens,Baltimore Ravens,3.0,76.0,2022.0
Devon Kennard,31.0,LB,2,1.0,256.0,75,USC,6/24/1991,8,1.0,Baltimore Ravens,New York Giants,5.0,174.0,2014.0
A.J. Klein,31.0,LB,2,1.0,240.0,73,Iowa St.,7/30/1991,9,1.0,Baltimore Ravens,Carolina Panthers,5.0,148.0,2013.0
Charlie Kolar,23.0,TE,2,0.0,265.0,78,Iowa St.,2/10/1999,0,0.0,Baltimore Ravens,Baltimore Ravens,4.0,128.0,2022.0
Isaiah Likely,22.0,TE,16,2.0,245.0,76,Coastal Carolina,4/18/2000,0,4.0,Baltimore Ravens,Baltimore Ravens,4.0,139.0,2022.0
Tyler Linderbaum,22.0,C,17,17.0,305.0,74,Iowa,4/7/2000,0,7.0,Baltimore Ravens,Baltimore Ravens,1.0,25.0,2022.0
Isaiah Mack,26.0,NT,2,0.0,305.0,73,Chattanooga,3/19/1996,3,0.0,Baltimore Ravens,,,,
Nnamdi Madubuike,25.0,DT,17,16.0,305.0,75,Texas A&M,11/17/1997,2,7.0,Baltimore Ravens,Baltimore Ravens,3.0,71.0,2020.0
Steven Means,32.0,LB,2,0.0,263.0,75,Buffalo,9/16/1990,9,0.0,Baltimore Ravens,Tampa Bay Buccaneers,5.0,147.0,2013.0
Patrick Mekari,25.0,LT,16,4.0,305.0,76,California,8/13/1997,3,2.0,Baltimore Ravens,,,,
Nick Moore,30.0,LS,17,0.0,260.0,74,Georgia,12/9/1992,2,0.0,Baltimore Ravens,,,,
Morgan Moses,31.0,RT,17,17.0,320.0,78,Virginia,3/3/1991,8,8.0,Baltimore Ravens,Washington Redskins,3.0,66.0,2014.0
Rayshad Nichols,23.0,DT,1,0.0,305.0,74,S.F. Austin,7/9/1999,0,0.0,Baltimore Ravens,,,,
David Ojabo,22.0,LB,2,0.0,252.0,76,Michigan,5/17/2000,0,0.0,Baltimore Ravens,Baltimore Ravens,2.0,45.0,2022.0
Josh Oliver,25.0,TE,17,9.0,259.0,77,San Jose St.,3/21/1997,3,1.0,Baltimore Ravens,Jacksonville Jaguars,3.0,69.0,2019.0
Odafe Oweh,24.0,LOLB,17,6.0,265.0,77,Penn St.,12/15/1998,1,4.0,Baltimore Ravens,Baltimore Ravens,1.0,31.0,2021.0
Marcus Peters,29.0,LCB,13,13.0,197.0,72,Washington,1/9/1993,7,6.0,Baltimore Ravens,Kansas City Chiefs,1.0,18.0,2015.0
Del'Shawn Phillips,26.0,LB,16,0.0,230.0,74,Illinois,10/9/1996,2,1.0,Baltimore Ravens,,,,
Michael Pierce,30.0,NT,3,3.0,355.0,72,Samford,11/6/1992,6,1.0,Baltimore Ravens,,,,
Jason Pierre-Paul,33.0,LOLB,14,13.0,275.0,77,"College of the Canyons (CA),South Florida",1/1/1989,12,6.0,Baltimore Ravens,New York Giants,1.0,15.0,2010.0
Ben Powers,26.0,LG,17,17.0,310.0,76,Oklahoma,10/29/1996,3,7.0,Baltimore Ravens,Baltimore Ravens,4.0,123.0,2019.0
James Proche,26.0,WR,15,0.0,193.0,71,SMU,9/21/1996,2,1.0,Baltimore Ravens,Baltimore Ravens,6.0,201.0,2020.0
Patrick Queen,23.0,RLB,17,17.0,232.0,72,LSU,8/13/1999,2,9.0,Baltimore Ravens,Baltimore Ravens,1.0,28.0,2020.0
Patrick Ricard,28.0,FB,17,16.0,300.0,75,Maine,5/27/1994,5,1.0,Baltimore Ravens,,,,
Demarcus Robinson,28.0,WR,17,5.0,202.0,73,Florida,9/21/1994,6,5.0,Baltimore Ravens,Kansas City Chiefs,4.0,126.0,2016.0
Josh Ross,23.0,LB,2,0.0,229.0,72,Michigan,10/31/1999,0,0.0,Baltimore Ravens,,,,
Kevon Seymour,29.0,DB,14,0.0,185.0,72,USC,11/30/1993,6,1.0,Baltimore Ravens,Buffalo Bills,6.0,218.0,2016.0
Roquan Smith,25.0,MLB,9,9.0,235.0,73,Georgia,4/8/1997,4,13.0,Baltimore Ravens,Chicago Bears,1.0,8.0,2018.0
Julian Stanford,32.0,LB,1,0.0,230.0,73,Wagner,9/2/1990,10,0.0,Baltimore Ravens,,,,
Ronnie Stanley,28.0,LT,11,11.0,310.0,78,Notre Dame,3/18/1994,6,5.0,Baltimore Ravens,Baltimore Ravens,1.0,6.0,2016.0
Brandon Stephens,25.0,DB,15,4.0,215.0,73,"UCLA,SMU",12/29/1997,1,2.0,Baltimore Ravens,Baltimore Ravens,3.0,104.0,2021.0
Geno Stone,23.0,FS,17,7.0,210.0,71,Iowa,4/19/1999,2,4.0,Baltimore Ravens,Baltimore Ravens,7.0,219.0,2020.0
Jordan Stout,24.0,P,17,0.0,209.0,75,"Virginia Tech,Penn St.",8/4/1998,0,2.0,Baltimore Ravens,Baltimore Ravens,4.0,130.0,2022.0
Justin Tucker,33.0,K,17,0.0,191.0,73,Texas,11/21/1989,10,4.0,Baltimore Ravens,,,,
Brent Urban,31.0,DE,16,0.0,309.0,79,Virginia,5/5/1991,7,1.0,Baltimore Ravens,Baltimore Ravens,4.0,134.0,2014.0
Binjimen Victor,25.0,WR,2,0.0,199.0,76,Ohio St.,1/15/1997,1,0.0,Baltimore Ravens,,,,
Tylan Wallace,23.0,WR,9,0.0,200.0,71,Oklahoma St.,5/13/1999,1,0.0,Baltimore Ravens,Baltimore Ravens,4.0,131.0,2021.0
Ar'Darius Washington,23.0,S,3,0.0,180.0,68,TCU,11/2/1999,1,0.0,Baltimore Ravens,,,,
