Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Johnathan Abram,26.0,S,5,2.0,205.0,71,Mississippi St.,10/25/1996,3,1.0,Seattle Seahawks,Oakland Raiders,1.0,27.0,2019.0
Jamal Adams,27.0,S,1,1.0,213.0,73,LSU,10/17/1995,5,0.0,Seattle Seahawks,New York Jets,1.0,6.0,2017.0
Myles Adams,24.0,DT,10,0.0,299.0,74,Rice,3/9/1998,1,1.0,Seattle Seahawks,,,,
Cody Barton,26.0,RILB,17,11.0,237.0,74,Utah,11/13/1996,3,5.0,Seattle Seahawks,Seattle Seahawks,3.0,88.0,2019.0
Nick Bellore,33.0,LB,16,0.0,250.0,73,Central Michigan,5/12/1989,11,1.0,Seattle Seahawks,,,,
Joey Blount,24.0,S,11,0.0,195.0,73,Virginia,11/16/1998,0,1.0,Seattle Seahawks,,,,
Austin Blythe,30.0,C,17,17.0,280.0,74,Iowa,6/16/1992,6,8.0,Seattle Seahawks,Indianapolis Colts,7.0,248.0,2016.0
Jordyn Brooks,25.0,LILB,16,16.0,240.0,72,Texas Tech,10/21/1997,2,7.0,Seattle Seahawks,Seattle Seahawks,1.0,27.0,2020.0
Tre Brown,25.0,DB,6,0.0,185.0,70,Oklahoma,9/24/1997,1,0.0,Seattle Seahawks,Seattle Seahawks,4.0,137.0,2021.0
Coby Bryant,23.0,DB,17,6.0,193.0,73,Cincinnati,3/29/1999,0,2.0,Seattle Seahawks,Seattle Seahawks,4.0,109.0,2022.0
Artie Burns,27.0,CB,3,0.0,187.0,72,Miami (FL),5/1/1995,6,0.0,Seattle Seahawks,Pittsburgh Steelers,1.0,25.0,2016.0
Justin Coleman,29.0,DB,12,0.0,190.0,71,Tennessee,3/27/1993,7,1.0,Seattle Seahawks,,,,
L.J. Collier,27.0,DE,8,0.0,300.0,74,TCU,9/12/1995,3,1.0,Seattle Seahawks,Seattle Seahawks,1.0,29.0,2019.0
Xavier Crawford,27.0,DB,6,0.0,185.0,71,Central Michigan,12/10/1995,3,0.0,Seattle Seahawks,Houston Texans,6.0,195.0,2019.0
Charles Cross,22.0,LT,17,17.0,317.0,77,Mississippi St.,11/25/2000,0,9.0,Seattle Seahawks,Seattle Seahawks,1.0,9.0,2022.0
Jake Curhan,24.0,T,4,0.0,325.0,78,California,7/9/1998,1,0.0,Seattle Seahawks,,,,
DeeJay Dallas,24.0,RB,15,0.0,225.0,70,Miami (FL),9/16/1998,2,2.0,Seattle Seahawks,Seattle Seahawks,4.0,144.0,2020.0
Michael Dickson,26.0,P,17,0.0,208.0,74,Texas,1/4/1996,4,3.0,Seattle Seahawks,Seattle Seahawks,5.0,149.0,2018.0
Quandre Diggs,29.0,FS,17,17.0,197.0,69,Texas,1/22/1993,7,8.0,Seattle Seahawks,Detroit Lions,6.0,200.0,2015.0
