Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Jack Anderson,24.0,G,12,2.0,314.0,76,Texas Tech,10/12/1998,1,1.0,New York Giants,Buffalo Bills,7.0,236.0,2021.0
Ryder Anderson,24.0,DT,7,2.0,280.0,78,"Mississippi,Indiana",10/15/1998,0,1.0,New York Giants,,,,
Saquon Barkley,25.0,RB,16,16.0,233.0,72,Penn St.,2/9/1997,4,11.0,New York Giants,New York Giants,1.0,2.0,2018.0
Daniel Bellinger,22.0,TE,12,11.0,255.0,78,San Diego St.,9/22/2000,0,3.0,New York Giants,New York Giants,4.0,112.0,2022.0
Dane Belton,22.0,S,15,5.0,190.0,73,Iowa,12/7/2000,0,3.0,New York Giants,New York Giants,4.0,114.0,2022.0
Ben Bredeson,24.0,LG,11,8.0,315.0,77,Michigan,2/20/1998,2,3.0,New York Giants,Baltimore Ravens,4.0,143.0,2020.0
Matt Breida,27.0,RB,17,1.0,195.0,70,Georgia Southern,2/28/1995,5,3.0,New York Giants,,,,
Gary Brightwell,23.0,RB,17,0.0,218.0,73,Arizona,2/28/1999,1,1.0,New York Giants,New York Giants,6.0,196.0,2021.0
Cam Brown,24.0,LB,17,0.0,230.0,77,Penn St.,4/1/1998,2,1.0,New York Giants,New York Giants,6.0,183.0,2020.0
Terrell Burgess,24.0,S,1,0.0,202.0,71,Utah,11/12/1998,2,0.0,New York Giants,Los Angeles Rams,3.0,104.0,2020.0
Vernon Butler,28.0,DT,1,0.0,330.0,76,Louisiana Tech,6/14/1994,6,0.0,New York Giants,Carolina Panthers,1.0,30.0,2016.0
Lawrence Cager,25.0,WR,6,3.0,220.0,77,Georgia,8/20/1997,2,1.0,New York Giants,,,,
Austin Calitro,28.0,LB,5,2.0,240.0,72,Villanova,1/10/1994,4,1.0,New York Giants,,,,
Landon Collins,28.0,S,6,1.0,218.0,72,Alabama,1/10/1994,7,1.0,New York Giants,New York Giants,2.0,33.0,2015.0
Carter Coughlin,25.0,LB,17,0.0,240.0,75,Minnesota,7/20/1997,2,1.0,New York Giants,New York Giants,7.0,218.0,2020.0
