Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jordan Love,GNB,2,23,0,24,2.0,2023,18
AJ Dillon,GNB,15,55,0,8,2.0,2023,18
Emanuel Wilson,GNB,3,5,0,7,2.0,2023,18
Patrick Taylor,GNB,1,1,0,1,2.0,2023,18
Dontayvion Wicks,GNB,0,0,0,0,2.0,2023,18
Jayden Reed,GNB,0,0,0,0,2.0,2023,18
Romeo Doubs,GNB,0,0,0,0,2.0,2023,18
Luke Musgrave,GNB,0,0,0,0,2.0,2023,18
Samori Toure,GNB,0,0,0,0,2.0,2023,18
Josiah Deguara,GNB,0,0,0,0,2.0,2023,18
Malik Heath,GNB,0,0,0,0,2.0,2023,18
Desmond Ridder,ATL,10,39,1,9,2.0,2023,18
Bijan Robinson,ATL,19,124,0,19,2.0,2023,18
Tyler Allgeier,ATL,16,48,0,10,2.0,2023,18
Drake London,ATL,0,0,0,0,2.0,2023,18
Mack Hollins,ATL,0,0,0,0,2.0,2023,18
Jonnu Smith,ATL,0,0,0,0,2.0,2023,18
Kyle Pitts,ATL,0,0,0,0,2.0,2023,18
