Quarter,Time,Tm,Detail,DEN,HOU,week,year,game_id
1.0,10:11,Texans,Matt Ammendola 29 yard field goal,0,3,13.0,2023,184
,3:49,Texans,Dameon Pierce 3 yard rush (Matt Ammendola kick),0,10,13.0,2023,184
2.0,12:54,Texans,Matt Ammendola 38 yard field goal,0,13,13.0,2023,184
,1:24,Broncos,Wil Lutz 34 yard field goal,3,13,13.0,2023,184
3.0,8:51,Texans,Matt Ammendola 38 yard field goal,3,16,13.0,2023,184
,4:47,Broncos,Courtland Sutton 45 yard pass from Russell Wilson (Wil Lutz kick),10,16,13.0,2023,184
4.0,14:16,Texans,Nico Collins 3 yard pass from C.J. Stroud (pass failed),10,22,13.0,2023,184
,12:04,Broncos,Russell Wilson 1 yard rush (Wil Lutz kick),17,22,13.0,2023,184
