Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Titans to receive the opening kickoff.",,,13.0,2023,183
1,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 49 yards, returned by Tyjae Spears for 20 yards (tackle by Darrell Baker)",0.0,1.33,13.0,2023,183
1,14:53,1.0,10.0,TEN 36,0.0,0.0,Derrick Henry left guard for 3 yards (tackle by DeForest Buckner),1.33,1.2,13.0,2023,183
1,14:17,2.0,7.0,TEN 39,0.0,0.0,Will Levis pass complete deep right to Chigoziem Okonkwo for 39 yards (tackle by E.J. Speed),1.2,4.11,13.0,2023,183
1,13:32,1.0,10.0,IND 22,0.0,0.0,Will Levis pass incomplete deep right intended for Chigoziem Okonkwo,4.11,3.56,13.0,2023,183
1,13:26,2.0,10.0,IND 22,0.0,6.0,"Derrick Henry left tackle for 22 yards, touchdown",3.56,7.0,13.0,2023,183
1,13:20,,,IND 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,13.0,2023,183
1,13:20,,,TEN 35,0.0,7.0,"Nick Folk kicks off 57 yards, returned by Isaiah McKenzie for 36 yards (tackle by Monty Rice)",0.0,1.86,13.0,2023,183
1,13:14,1.0,10.0,IND 44,0.0,7.0,Zack Moss up the middle for 2 yards (tackle by Jack Gibbens),1.86,1.59,13.0,2023,183
1,12:35,2.0,8.0,IND 46,0.0,7.0,"Gardner Minshew pass complete short right to Will Mallory for 3 yards (tackle by K'Von Wallace). Penalty on K'Von Wallace: Taunting / Defense, 15 yards (accepted)",1.59,3.18,13.0,2023,183
1,12:12,1.0,10.0,TEN 36,6.0,7.0,"Gardner Minshew pass complete deep middle to Alec Pierce for 36 yards, touchdown",3.18,7.0,13.0,2023,183
1,12:05,,,TEN 15,7.0,7.0,Matt Gay kicks extra point good,0.0,0.0,13.0,2023,183
1,12:05,,,IND 35,7.0,7.0,"Matt Gay kicks off 60 yards, returned by Tyjae Spears for 20 yards (tackle by Segun Olubi and Ronnie Harrison)",0.0,0.61,13.0,2023,183
1,11:59,1.0,10.0,TEN 25,7.0,7.0,Derrick Henry left tackle for 9 yards (tackle by Dayo Odeyingbo),0.61,1.28,13.0,2023,183
1,11:38,2.0,1.0,TEN 34,7.0,7.0,Derrick Henry up the middle for 2 yards (tackle by Tyquan Lewis and DeForest Buckner),1.28,1.33,13.0,2023,183
1,11:03,1.0,10.0,TEN 36,7.0,7.0,Will Levis pass incomplete short middle intended for Derrick Henry,1.33,0.79,13.0,2023,183
1,10:58,2.0,10.0,TEN 36,7.0,7.0,Derrick Henry right end for 5 yards (tackle by Julian Blackmon),0.79,0.76,13.0,2023,183
1,10:15,3.0,5.0,TEN 41,7.0,7.0,Will Levis scrambles up the middle for 6 yards (tackle by Kenny Moore and E.J. Speed),0.76,2.06,13.0,2023,183
1,9:28,1.0,10.0,TEN 47,7.0,7.0,Tyjae Spears right tackle for 7 yards (tackle by Kwity Paye and Zaire Franklin),2.06,2.46,13.0,2023,183
1,8:50,2.0,3.0,IND 46,7.0,7.0,"Will Levis pass incomplete deep right intended for Chris Moore. Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",2.46,1.11,13.0,2023,183
1,8:44,2.0,13.0,TEN 44,7.0,7.0,Will Levis pass incomplete short left intended for Chigoziem Okonkwo (defended by DeForest Buckner),1.11,0.43,13.0,2023,183
1,8:40,3.0,13.0,TEN 44,7.0,7.0,"Will Levis pass incomplete deep right intended for Chris Moore. Penalty on Dayo Odeyingbo: Defensive Offside, 5 yards (accepted) (no play)",0.43,1.09,13.0,2023,183
1,8:34,3.0,8.0,TEN 49,7.0,7.0,Will Levis pass incomplete deep right intended for DeAndre Hopkins,1.09,-0.13,13.0,2023,183
1,8:30,4.0,8.0,TEN 49,7.0,7.0,"Ryan Stonehouse punts 51 yards, touchback.",-0.13,-0.28,13.0,2023,183
1,8:22,1.0,10.0,IND 20,7.0,7.0,Gardner Minshew pass complete short right to Josh Downs for 5 yards (tackle by Jack Gibbens and Azeez Al-Shaair),0.28,0.41,13.0,2023,183
1,7:56,2.0,5.0,IND 25,7.0,7.0,Zack Moss up the middle for 4 yards (tackle by Denico Autry and Jack Gibbens),0.41,0.23,13.0,2023,183
1,7:13,3.0,1.0,IND 29,7.0,7.0,"Gardner Minshew pass incomplete short right intended for Michael Pittman. Penalty on Blake Freeland: Ineligible Downfield Pass, 5 yards (declined)",0.23,-1.44,13.0,2023,183
1,7:09,4.0,1.0,IND 29,7.0,7.0,"Rigoberto Sanchez punts 53 yards, returned by Eric Garror for 12 yards (tackle by Segun Olubi)",-1.44,-0.94,13.0,2023,183
1,6:58,1.0,10.0,TEN 30,7.0,7.0,Will Levis pass complete short left to Tyjae Spears for 7 yards (tackle by Nick Cross),0.94,1.34,13.0,2023,183
1,6:21,2.0,3.0,TEN 37,7.0,7.0,Derrick Henry up the middle for 3 yards (tackle by Julian Blackmon and E.J. Speed),1.34,1.6,13.0,2023,183
1,5:43,1.0,10.0,TEN 40,7.0,7.0,Derrick Henry right guard for -1 yards (tackle by E.J. Speed),1.6,0.92,13.0,2023,183
1,5:06,2.0,11.0,TEN 39,7.0,7.0,Derrick Henry right guard for 6 yards (tackle by Darrell Baker and Dayo Odeyingbo),0.92,1.03,13.0,2023,183
1,4:30,3.0,5.0,TEN 45,7.0,7.0,"Penalty on Jaelyn Duncan: False Start, 5 yards (accepted) (no play)",1.03,0.37,13.0,2023,183
1,4:12,3.0,10.0,TEN 40,7.0,7.0,"Will Levis sacked by Samson Ebukam for no gain. Will Levis fumbles (forced by Samson Ebukam), recovered by Julian Blackmon at 50 and returned for 2 yards. Julian Blackmon fumbles, recovered by Will Levis at TEN-48 (tackle by Kenny Moore)",0.37,2.13,13.0,2023,183
1,4:04,1.0,10.0,TEN 48,7.0,7.0,Will Levis pass complete short right to Derrick Henry for 18 yards (tackle by Julian Blackmon),2.13,3.31,13.0,2023,183
1,3:32,1.0,10.0,IND 34,7.0,7.0,Derrick Henry left guard for 1 yard (tackle by DeForest Buckner),3.31,2.91,13.0,2023,183
1,2:54,2.0,9.0,IND 33,7.0,7.0,Will Levis pass incomplete short left intended for Trevon Wesco,2.91,2.21,13.0,2023,183
1,2:49,3.0,9.0,IND 33,7.0,7.0,Will Levis pass complete short left to Chris Moore for 12 yards (tackle by Jaylon Jones),2.21,4.17,13.0,2023,183
1,2:13,1.0,10.0,IND 21,7.0,7.0,Chigoziem Okonkwo right end for 2 yards (tackle by Nick Cross and Kenny Moore),4.17,3.9,13.0,2023,183
1,1:33,2.0,8.0,IND 19,7.0,7.0,Derrick Henry right end for 9 yards (tackle by Darrell Baker),3.9,4.91,13.0,2023,183
1,1:02,1.0,10.0,IND 10,7.0,7.0,Will Levis pass incomplete short right intended for Josh Whyle,4.91,4.19,13.0,2023,183
1,0:58,2.0,10.0,IND 10,7.0,7.0,Tyjae Spears up the middle for 4 yards (tackle by E.J. Speed),4.19,4.04,13.0,2023,183
1,0:21,3.0,6.0,IND 6,7.0,7.0,Will Levis pass incomplete short middle intended for DeAndre Hopkins (defended by Nick Cross),4.04,2.99,13.0,2023,183
1,0:17,4.0,6.0,IND 6,7.0,10.0,Nick Folk 24 yard field goal good,2.99,3.0,13.0,2023,183
1,0:13,,,TEN 35,7.0,10.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,183
1,0:13,1.0,10.0,IND 25,7.0,10.0,Zack Moss up the middle for 5 yards (tackle by Azeez Al-Shaair and Jaleel Johnson),0.61,0.74,13.0,2023,183
2,15:00,2.0,5.0,IND 30,7.0,10.0,Gardner Minshew pass incomplete short middle intended for Michael Pittman (defended by Jack Gibbens),0.74,0.04,13.0,2023,183
2,14:56,3.0,5.0,IND 30,7.0,10.0,Gardner Minshew pass incomplete short left intended for Josh Downs,0.04,-1.37,13.0,2023,183
2,14:52,4.0,5.0,IND 30,7.0,10.0,"Rigoberto Sanchez punts 56 yards, returned by Eric Garror for 9 yards (tackle by Trevor Denbow)",-1.37,-0.48,13.0,2023,183
2,14:41,1.0,10.0,TEN 23,7.0,10.0,Will Levis pass complete deep left to DeAndre Hopkins for 18 yards (tackle by Jaylon Jones),0.48,1.66,13.0,2023,183
2,14:06,1.0,10.0,TEN 41,7.0,10.0,Derrick Henry up the middle for 2 yards (tackle by Dayo Odeyingbo),1.66,1.39,13.0,2023,183
2,13:24,2.0,8.0,TEN 43,7.0,10.0,Derrick Henry right tackle for 7 yards (tackle by Darrell Baker),1.39,1.62,13.0,2023,183
2,12:51,3.0,1.0,TEN 50,7.0,10.0,Derrick Henry up the middle for 2 yards (tackle by Zaire Franklin and Kwity Paye),1.62,2.39,13.0,2023,183
2,12:08,1.0,10.0,IND 48,7.0,10.0,Tyjae Spears left guard for 9 yards (tackle by Julian Blackmon),2.39,3.06,13.0,2023,183
2,11:29,2.0,1.0,IND 39,7.0,10.0,Derrick Henry right end for 7 yards (tackle by Julian Blackmon),3.06,3.45,13.0,2023,183
2,10:49,1.0,10.0,IND 32,7.0,10.0,Will Levis pass complete deep middle to DeAndre Hopkins for 27 yards (tackle by Jaylon Jones),3.45,6.06,13.0,2023,183
2,10:25,1.0,5.0,IND 5,7.0,16.0,"Derrick Henry up the middle for 5 yards, touchdown",6.06,7.0,13.0,2023,183
2,10:22,,,IND 15,7.0,17.0,Nick Folk kicks extra point good,0.0,0.0,13.0,2023,183
2,10:22,,,TEN 35,7.0,17.0,"Penalty on E.J. Speed: Defensive Holding, 5 yards (accepted) (no play)",0.0,0.0,13.0,2023,183
2,10:22,,,TEN 40,7.0,17.0,"Nick Folk kicks off 60 yards, touchback.",0.0,0.61,13.0,2023,183
2,10:22,1.0,10.0,IND 25,7.0,17.0,Gardner Minshew pass complete short left to Tyler Goodson for 7 yards (tackle by Harold Landry),0.61,1.01,13.0,2023,183
2,9:49,2.0,3.0,IND 32,7.0,17.0,"Zack Moss left tackle for no gain (tackle by Jeffery Simmons and Amani Hooker). Penalty on Teair Tart: Defensive Offside, 5 yards (declined) . Penalty on Jeffery Simmons: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.01,2.06,13.0,2023,183
2,9:23,1.0,10.0,IND 47,7.0,17.0,"Gardner Minshew aborted snap, recovered by Gardner Minshew at IND-47 Gardner Minshew pass complete deep left to Kylen Granson for 25 yards",2.06,3.71,13.0,2023,183
2,9:00,1.0,10.0,TEN 28,7.0,17.0,Gardner Minshew pass complete short middle to Zack Moss for 5 yards (tackle by Azeez Al-Shaair and Monty Rice),3.71,3.84,13.0,2023,183
2,8:38,2.0,5.0,TEN 23,7.0,17.0,Gardner Minshew pass complete short left to Michael Pittman for 14 yards (tackle by Kristian Fulton and Azeez Al-Shaair),3.84,5.14,13.0,2023,183
2,8:15,1.0,9.0,TEN 9,7.0,17.0,Zack Moss up the middle for 4 yards (tackle by K'Von Wallace and Azeez Al-Shaair),5.14,5.15,13.0,2023,183
2,7:50,2.0,5.0,TEN 5,7.0,17.0,Gardner Minshew pass incomplete short middle intended for Michael Pittman (defended by Amani Hooker),5.15,4.26,13.0,2023,183
2,7:46,3.0,5.0,TEN 5,7.0,17.0,Gardner Minshew pass incomplete short middle intended for Alec Pierce,4.26,3.01,13.0,2023,183
2,7:42,4.0,5.0,TEN 5,10.0,17.0,Matt Gay 23 yard field goal good,3.01,3.0,13.0,2023,183
2,7:39,,,IND 35,10.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,183
